,mall_name1,address1,lon1,lat1,mall_name2,address2,lon2,lat2,distance
0,金源新燕莎MALL,远大路1号,116.2891,39.9585,世纪金源购物中心,远大路1号,116.2886,39.9586,44.04275260645252
1,国贸商城,建国门外大街1号,116.4584,39.9112,共享际,建国门外大街1号,116.4592,39.9118,95.4296527982146
2,北京SKP,建国路87号,116.4789,39.9103,华贸广场,西大望路甲6号,116.4799,39.91,91.58358790234219
3,凯德MALL,广顺北大街33号,116.4687,39.9929,华联商厦,广顺北大街33号望京凯德MALL,116.4689,39.9925,47.62960178587007
4,万达百货,新华西街58号,116.641,39.9053,万达广场B座,新华西街58号院3,116.6407,39.9057,51.3138154811419
5,万达百货,新华西街58号,116.641,39.9053,万达广场,北苑一路1号院,116.6406,39.9049,56.05732756871399
6,三里屯太古里,三里屯北路11号,116.4545,39.9385,三里屯太古里北区N8座,三里屯路19号三里屯太古里北区,116.4542,39.9387,33.89332477316352
7,悠唐购物中心,三丰路三丰北里2号,116.439,39.9218,悠唐广场,三丰北里3号北京朝阳悠唐皇冠假日酒店附近,116.4392,39.9221,37.46569654892101
8,欧美汇购物中心,中关村丹棱街甲1号,116.3141,39.9795,食宝街,中关村大街15号,116.3138,39.9803,92.55568461815575
9,西单大悦城,西单北大街131号,116.3728,39.9108,young街样街,西单北大街131号young街9层,116.3731,39.9106,33.9011924773001
10,凯德MALL,西直门外大街1号,116.3528,39.9417,嘉茂购物中心·西直门,西外大街1号凯德MALL2层207,116.3528,39.9411,66.7169559867028
11,万达广场B座,新华西街58号院3,116.6407,39.9057,万达广场,北苑一路1号院,116.6406,39.9049,89.36396058800102
12,百尚食工坊,兴华南街马驹桥百尚生活广场B1层,116.5451,39.7531,百尚生活广场,马驹桥兴华中街潼关三区9号楼,116.5449,39.753,20.39528870885905
13,翠微百货,立汤路186号龙德广场1-4层,116.4156,40.0605,龙德广场,立汤路186号,116.4155,40.0597,89.36212009102411
14,西单购物中心,西单北大街132号,116.3746,39.9114,华威约饭街,西单北大街130号华威大厦7层,116.3746,39.9115,11.119492663861031
15,那里花园,三里屯北街81号,116.4549,39.9363,3.3大厦,三里屯路33号,116.4546,39.9367,51.30804050243959
16,老佛爷百货,西单北大街110号,116.3743,39.9139,西单觅食森林,西单北大街111号觅食森林,116.3734,39.9134,94.77887863573015
17,食寶街,羊坊店路18号光耀东方广场,116.322,39.8991,光耀东方广场,羊坊店路18号,116.3222,39.8994,37.46827028828414
18,五道口购物中心,成府路28号,116.3393,39.9917,华联商厦,成府路28号五道口商业中心,116.3394,39.9921,45.28646428046044
19,物美大卖场,新街口北大街1号新华百货B1层,116.3712,39.9474,新华百货,新街口北大街1号,116.3715,39.9474,25.573750989810645
20,第5大道精品休闲购物广场,慧忠北里309-6号,116.4075,40.0029,日购商城,慧忠北里309-6号第五大道精品休闲购物广场B1层,116.407,40.0033,61.579575819856395
