,mall_name1,address1,lon1,lat1,mall_name2,address2,lon2,lat2,distance
0,国金街,五一大道,112.9759,28.1939,7mall购物美学中心,五一大道635号,112.9758,28.1947,89.49414967830162
1,国金街,五一大道,112.9759,28.1939,春天百货,黄兴中路63-65号,112.9759,28.194,11.119492664214691
2,海信广场,湘江中路二段36号,112.9695,28.1902,华远悠优港,湘江中路与坡子街交口,112.9697,28.191,91.08984256053235
3,7mall购物美学中心,五一大道635号,112.9758,28.1947,春天百货,黄兴中路63-65号,112.9759,28.194,78.45097819717331
4,世纪金源购物中心,金泰路199号,112.9795,28.2511,佰能商城,金泰路199号世纪金源购物中心B1层佰能数码城,112.9795,28.2511,0.0
5,庙街,五一大道868号,112.976,28.1957,2751 YOLO城市广场,定王台街道黄兴中路92号,112.9767,28.1959,72.11493330376982
6,庙街,五一大道868号,112.976,28.1957,粉巢,吉祥街安妮公主意大利冰淇淋旁,112.9761,28.1965,89.49413160458278
7,奥克斯广场,岳麓大道57号,112.9544,28.2231,平和堂百货,岳麓大道57号奥克斯广场1层,112.9543,28.2234,34.76750406979532
8,奥克斯广场,岳麓大道57号,112.9544,28.2231,平和堂,银双路大官米线旁,112.9548,28.2234,51.46502323950573
9,2751 YOLO城市广场,定王台街道黄兴中路92号,112.9767,28.1959,粉巢,吉祥街安妮公主意大利冰淇淋旁,112.9761,28.1965,88.93024913735238
10,麓南青年街,清水路金纳斯酒店西北,112.9322,28.163,中南·麓南商业广场,清水路59号,112.9328,28.1626,73.74203053530925
11,通程名品金色家族,劳动西路589号,112.9943,28.1699,平和堂百货,韶山北路498号,112.9945,28.1707,91.09064333191871
12,平和堂百货,岳麓大道57号奥克斯广场1层,112.9543,28.2234,平和堂,银双路大官米线旁,112.9548,28.2234,48.98750234172117
