,mall_name1,address1,lon1,lat1,mall_name2,address2,lon2,lat2,distance
0,凯德广场云尚,云城西路890号,113.2694,23.181,白云绿地中心,云城西路与齐心路交叉口,113.2693,23.1808,24.475645467361048
1,保利时光里,建设大马路18号,113.2819,23.1369,中环广场北区,建设中马路2-4,113.2819,23.1373,44.47797065756609
2,ifc国金天地,珠江西路5号广州国际金融中心,113.323,23.1185,友谊商店,珠江西路5号,113.3227,23.1189,54.03263839511337
3,百信广场,机场路1399号,113.2618,23.1946,广百百货,机场路1399号,113.2621,23.1939,83.65816054198729
4,正佳广场,天河路228号,113.327,23.1322,Hi百货,天河路228号正佳广场4层,113.3271,23.1321,15.106420604832845
5,正佳广场,天河路228号,113.327,23.1322,友谊商店,天河路228号正佳广场1层到4层,113.3276,23.1318,75.77920586858191
6,花城汇,珠江东路30号花城广场,113.3242,23.1205,花城汇中区,花城大道89号高德置地广场·秋,113.3242,23.1206,11.119492664214691
7,天河城百货,天河路208号天河城2-7层,113.3231,23.1323,广州天河城购物中心,天河路208号,113.3226,23.1324,52.32261441780137
8,时尚天河商业广场,天河路299号,113.3252,23.134,时尚天河店,天河路299号时尚天河商业广场B2层,113.3252,23.134,0.0
9,粤海仰忠汇,北京路168号,113.2701,23.1196,天河城尚品荟,北京路粤海仰忠汇B1楼,113.27,23.1196,10.226455419305127
10,友谊商店,环市东路369号,113.2874,23.1376,丽柏广场,环市东路367号,113.2865,23.1376,92.02574940819095
11,广州来又来时尚购物广场,新华龙珠路39号,113.2321,23.3982,广百百货,龙珠路41号广百新一城,113.2329,23.3983,82.39456452115212
12,Hi百货,天河路228号正佳广场4层,113.3271,23.1321,友谊商店,天河路228号正佳广场1层到4层,113.3276,23.1318,61.0476576834437
13,中华广场,中山三路33号,113.2831,23.1256,地王广场,较场西路26号,113.2836,23.1256,51.1299907376758
14,中华广场,中山三路33号,113.2831,23.1256,中华百货,中山三路33号中华广场,113.2826,23.1257,52.32510985513755
15,天娱广场,天河路621-625号,113.34,23.1357,摩登百货,天河路611号,113.3391,23.1355,94.67609863951027
16,万达广场,增城大道69号,113.8154,23.276,万达百货,增城大道69号万达百货3楼办公区,113.8154,23.2765,55.597463322134445
17,中信广场,天河北路233号,113.3248,23.1421,中天购物城,天河北路233号,113.3247,23.1422,15.105904429574249
18,动漫星城广场,中山五路吉祥路1号,113.2651,23.1257,捷登都会,中山五路70号,113.2658,23.126,78.97309557735409
19,新大新,中山五路4号,113.2686,23.1257,广百黄金珠宝大厦,中山四路395号广百黄金珠宝大厦1层,113.2693,23.1253,84.27501634332997
20,万象购物街,地铁一号线芳村站D出口,113.2354,23.0964,华苑商业广场,花地大道北25-6号,113.2352,23.0961,39.13125514113672
21,缤纷天地,云城西路880号,113.2688,23.1802,白云绿地中心,云城西路与齐心路交叉口,113.2693,23.1808,84.04336171231475
22,新光百货,东晓南路1290号新光百货1楼C09室铺,113.2924,23.0725,海珠新都荟广场,东晓南路1290号,113.2926,23.0724,23.286442245997616
23,上下九广场,下九路92号,113.2483,23.1147,东方汇,下九路59-60号,113.2479,23.1142,69.02530398010765
24,广百百货,广州大道北1419号佳润广场1-3层,113.3208,23.1813,佳润广场,广州大道北1419号,113.3205,23.1814,32.6190061959348
25,万达广场,云城东路501号,113.2669,23.1725,万达百货,云城东路501号万达广场B1-4层,113.2672,23.1729,54.02562252075871
26,天河城百货,北京路一街238号,113.2702,23.1226,金佰利广场,文明路63号,113.2709,23.1224,74.95858934845573
27,天河城百货,北京路一街238号,113.2702,23.1226,名盛广场,北京路一街238号天河城百货内,113.2702,23.1225,11.119492664568353
28,合生广场,广州大道南与叠景路交汇处,113.3139,23.086,合生广场-北区,广州大道南249号,113.3141,23.0858,30.217610865846765
29,时代广场,天河北路28号,113.3172,23.1404,广州友谊OUTLETS购物中心,天河北路28号时代广场1-5层,113.3172,23.1403,11.119492664214691
30,中旅商业城,中山五路217-255号,113.263,23.125,百汇广场,中山五路193-215号,113.2638,23.1251,82.56055007172351
31,金佰利广场,文明路63号,113.2709,23.1224,名盛广场,北京路一街238号天河城百货内,113.2702,23.1225,72.44214646610244
32,新光百货,康王中路666号新光城市广场内,113.2478,23.1244,新光城市广场,康王中路600号,113.2479,23.1245,15.10681792849464
33,东圃购物中心,东圃大马路1号,113.4029,23.1208,车陂文化广场,东圃大马路2号,113.4022,23.1203,90.6390892889934
34,骐利广场,西槎路99号,113.2349,23.1558,百德商业广场,西槎路111号,113.2348,23.1565,78.50500703006952
35,康王商业城,中山七路282-304号,113.2471,23.1262,柏德来商业城,康王北路903号柏德来商业城香港街2区2233铺,113.2471,23.1263,11.119492664214691
