,mall_name1,address1,lon1,lat1,mall_name2,address2,lon2,lat2,distance
0,柏联广场,三市街6号,102.7107,25.0353,百盛,三市街6号柏联广场1层,102.7108,25.0352,15.004816073433359
1,万达广场,前兴路688号,102.71,25.0075,万达百货,前兴路688号,102.7097,25.0076,32.21130220437107
2,顺城购物中心,东风西路11号,102.7075,25.0356,王府井百货,沿河路7号,102.7068,25.0355,71.3945853463542
3,南亚风情第壹城,滇池路569号南亚风情第一城阳光酒店旁,102.6835,25.0096,中央商业广场,滇池路569号,102.6841,25.0094,64.42170349822449
4,公园1903,海宏路与前卫西路交叉口北侧,102.6763,24.9855,金格奥特莱斯购物中心,前卫西路19号,102.6765,24.9858,38.97591158865938
5,新螺蛳湾商贸城,彩云北路5151号,102.7761,24.9328,中豪.螺蛳湾国际商贸城,新昆洛路宏仁片区、彩云北路5151号,102.7761,24.9328,0.0
6,新螺蛳湾商贸城,彩云北路5151号,102.7761,24.9328,新螺狮湾国际商贸城,彩云北路5151号,102.7761,24.9328,0.0
7,新西南,人民中路21号,102.7148,25.0421,时尚女人广场,人民中路21号新西南旁边,102.7154,25.0425,75.04611793353995
8,新西南,人民中路21号,102.7148,25.0421,百盛,人民中路17号,102.7148,25.0418,33.35847799370506
9,时尚女人广场,人民中路21号新西南旁边,102.7154,25.0425,百盛,人民中路17号,102.7148,25.0418,98.55024921067317
10,中豪.螺蛳湾国际商贸城,新昆洛路宏仁片区、彩云北路5151号,102.7761,24.9328,新螺狮湾国际商贸城,彩云北路5151号,102.7761,24.9328,0.0
11,金格百货,白塔路131号,102.7263,25.0361,汇都国际,白塔路131号,102.7271,25.036,81.3612145888302
12,新世界百货,青年路432号,102.7158,25.0374,华一广场,青年路387号,102.7167,25.0371,96.61331386927209
13,中央商业广场,滇池路569号,102.6841,25.0094,星光天地,杨家路西150米,102.6839,25.0087,80.40330621173662
14,福万家购物中心,清远街178号,103.144,24.9169,宜良百货大楼,清远街174号,103.1446,24.9169,60.50692743477069
