,mall_name1,address1,lon1,lat1,mall_name2,address2,lon2,lat2,distance
0,万达广场,广富林路658弄,121.243,31.0577,松江万达,广富林路658弄,121.2428,31.0579,29.283302358469896
1,上海陆家嘴中心 L+MALL,浦东南路899号,121.5153,31.2313,上海老佛爷百货,浦东南路899号,121.5152,31.2315,24.18626972269582
2,第一百货商业中心,南京东路800-830号,121.4747,31.2352,新世界城,南京西路2-68号,121.474,31.2349,74.44596276365034
3,BFC外滩金融中心,中山东二路600号,121.4983,31.226,BFC南区商场,中山东二路600号,121.4984,31.2254,67.3911440564931
4,新天地广场,淮海中路333号,121.4742,31.2227,香港广场,淮海中路282号-283号,121.4749,31.223,74.45364473079161
5,百联世纪购物中心,世纪大道1217号,121.5273,31.2301,浦东世纪大都会,福山路312号,121.5274,31.2297,45.4829189772621
6,上海老佛爷百货,浦东南路899号,121.5152,31.2315,世界广场,浦东南路855号,121.515,31.2323,90.96575381475132
7,永新坊,天钥桥路131号,121.4422,31.192,城开YOYO,上海徐家汇天钥桥路123号,121.442,31.1924,48.37563955986314
8,百盛,莘庄都市路5001号仲盛世界商城,121.3876,31.1072,仲盛世界商城,莘庄都市路5001号,121.3871,31.1072,47.602668650371335
9,MORE MEE时尚生活中心,张杨路588号,121.519,31.2277,三鑫世界商厦,张杨路579号1-3F,121.5184,31.2283,87.78325985237832
10,恒基名人购物中心,南京东路155号,121.4842,31.2376,宏伊国际广场,南京东路299号,121.4846,31.2369,86.63015883661015
11,东方商厦,真光路1288号百联购物广场内,121.3834,31.2456,百联中环购物广场,真光路1288号,121.3837,31.2456,28.519887707452966
12,悦荟广场,南京东路353号,121.4836,31.2367,宏伊国际广场,南京东路299号,121.4846,31.2369,97.64146964240656
13,梅龙镇广场,南京西路1038号,121.4567,31.2289,梅龙镇伊势丹百货,南京西路1038号,121.4571,31.229,39.625357029789214
14,乐荟天地,高科西路899号,121.5082,31.1857,中建广场,东明路高科西路地铁站4出口,121.5083,31.186,34.68830282170548
