,mall_name1,address1,lon1,lat1,mall_name2,address2,lon2,lat2,distance
0,中心城广场,福华一路3号,114.0598,22.5358,连城·新天地,福华路B1楼连城新天地商业街,114.0593,22.5352,84.19143167576915
1,AEON永旺,深南中路1095号新城市广场B1楼,114.0988,22.5395,新城市广场,深南中路1095号,114.0985,22.5394,32.75553361228624
2,太阳广场·太阳百货,东门解放路2001号二楼,114.1185,22.5453,南塘商业广场,永新街1-9号,114.1184,22.5446,78.51101894960739
3,太阳广场·太阳百货,东门解放路2001号二楼,114.1185,22.5453,中威商业广场,人民北路1008-10号中威大厦,114.1192,22.545,79.25070101813455
4,茂业百货,东门中路2047号,114.1212,22.5471,UCT 东门韩国城,人民路二横街12号,114.1207,22.5465,84.18886788489645
5,茂业百货,华强北路2009号,114.0862,22.5457,曼哈数码广场,华强北路2022号曼哈数码广场1-5楼,114.087,22.5456,82.90648678592443
6,芮欧百货,宝安南路1881号万象城B1F-3F楼,114.1114,22.5396,深圳万象城,宝安南路1881号,114.1111,22.5396,30.810384649883954
7,AEON,新洲路中城天邑花园商铺1-2楼,114.048,22.5215,新洲,新洲路中城天邑裙楼吉之岛商场T-111商铺,114.0471,22.5215,92.44326778607767
8,保利文化广场,文心五路海岸城对面,113.9376,22.5169,天虹,文心五路文心五路30-2号保利文化广场C区1-4层,113.9375,22.5167,24.496588074444713
9,马成时代广场,石厦北二街89号,114.0534,22.521,石厦新港商城,石厦北路二街89号,114.0531,22.521,30.814534097210917
10,南山京基百纳广场,白石路与深湾二路交汇处,113.9693,22.5311,天虹,白石路168号京基百纳广场B1-2楼,113.9692,22.5307,45.648424937535275
11,华强广场,华强北路1019号,114.0861,22.5439,乐淘里商场,华强北路1019号,114.0864,22.5437,37.99729604826218
12,天虹,人民南路3002号1-5楼,114.1192,22.5412,国贸时代广场,人民南路3002号国贸大厦A区1-5楼,114.1196,22.5407,69.12780525227748
13,东门印象城,人民路二横街21号3楼,114.1207,22.5458,Ucity,东门街道东门中路新风花园鸿基商业中心B101,114.1204,22.5465,83.71202096073439
14,东门印象城,人民路二横街21号3楼,114.1207,22.5458,UCT 东门韩国城,人民路二横街12号,114.1207,22.5465,77.8364486516248
15,东门印象城,人民路二横街21号3楼,114.1207,22.5458,九龙城购物广场,东门中路2013号,114.1213,22.5459,62.61324525972035
16,一乐会·音乐潮流广场,流塘路泰华明珠花园1～3楼,113.8859,22.5815,ONCELIVE一乐会,建安二路89-11号,113.8854,22.5816,52.525496342884175
17,信兴商业广场,深南东路5002号地王信兴广场1层,114.1104,22.5426,地王购物中心,深南东路5002号地王大厦,114.1106,22.5428,30.273018584308627
18,华盛奥特莱斯购物中心,华南大道1号,114.1235,22.679,华南城港台馆,平新北路华南城1号交易广场海峡两岸商品交易物流中心,114.1229,22.679,61.558365553059694
19,世贸中心,龙翔大道社保大厦对面,114.2461,22.7168,世贸百货,龙翔大道世贸中心C区二层,114.2459,22.7167,23.333648621321366
20,东门町购物广场,永新街7号,114.1188,22.5442,ddmmall商业广场,深南东路3020号百货广场大厦,114.1188,22.5437,55.597463322134445
21,东门町购物广场,永新街7号,114.1188,22.5442,叮梆小镇,深南东路3020号ddm百货广场1层,114.1188,22.5437,55.597463322134445
22,东门町购物广场,永新街7号,114.1188,22.5442,南塘商业广场,永新街1-9号,114.1184,22.5446,60.545693890574995
23,东门町购物广场,永新街7号,114.1188,22.5442,中威商业广场,人民北路1008-10号中威大厦,114.1192,22.545,97.98288513665335
24,ddmmall商业广场,深南东路3020号百货广场大厦,114.1188,22.5437,叮梆小镇,深南东路3020号ddm百货广场1层,114.1188,22.5437,0.0
25,茂业百货,深南中路2020号,114.0926,22.5409,华联街,深南中路2006-2号,114.0933,22.5408,72.74510752460353
26,Ucity,东门街道东门中路新风花园鸿基商业中心B101,114.1204,22.5465,UCT 东门韩国城,人民路二横街12号,114.1207,22.5465,30.808844513076675
27,南塘商业广场,永新街1-9号,114.1184,22.5446,中威商业广场,人民北路1008-10号中威大厦,114.1192,22.545,93.4249187797352
28,UCT 东门韩国城,人民路二横街12号,114.1207,22.5465,九龙城购物广场,东门中路2013号,114.1213,22.5459,90.8179955927438
