,mall_name1,address1,lon1,lat1,mall_name2,address2,lon2,lat2,distance
0,金源新燕莎MALL,远大路1号,116.2891,39.9585,世纪金源购物中心,远大路1号,116.2886,39.9586,44.04275260645252
1,北京apm,王府井大街138号,116.4119,39.9148,北京王府井银泰in88,王府井大街88号,116.4118,39.9161,144.8047761304787
2,北京apm,王府井大街138号,116.4119,39.9148,澳门中心,王府井东街8号,116.4133,39.9149,119.91758364995752
3,北京apm,王府井大街138号,116.4119,39.9148,东安市场,王府井大街253-255号,116.4115,39.9138,116.31050321620745
4,国贸商城,建国门外大街1号,116.4584,39.9112,共享际,建国门外大街1号,116.4592,39.9118,95.4296527982146
5,北京SKP,建国路87号,116.4789,39.9103,华贸广场,西大望路甲6号,116.4799,39.91,91.58358790234219
6,华贸购物中心,建国路79号,116.4811,39.9091,华贸广场,西大望路甲6号,116.4799,39.91,143.14656247196586
7,凯德MALL,广顺北大街33号,116.4687,39.9929,华联商厦,广顺北大街33号望京凯德MALL,116.4689,39.9925,47.62960178587007
8,万达百货,新华西街58号,116.641,39.9053,万达广场B座,新华西街58号院3,116.6407,39.9057,51.3138154811419
9,万达百货,新华西街58号,116.641,39.9053,万达广场,北苑一路1号院,116.6406,39.9049,56.05732756871399
10,三里屯太古里,三里屯北路11号,116.4545,39.9385,三里屯太古里北区N8座,三里屯路19号三里屯太古里北区,116.4542,39.9387,33.89332477316352
11,悠唐购物中心,三丰路三丰北里2号,116.439,39.9218,悠唐广场,三丰北里3号北京朝阳悠唐皇冠假日酒店附近,116.4392,39.9221,37.46569654892101
12,欧美汇购物中心,中关村丹棱街甲1号,116.3141,39.9795,食宝街,中关村大街15号,116.3138,39.9803,92.55568461815575
13,西单大悦城,西单北大街131号,116.3728,39.9108,young街样街,西单北大街131号young街9层,116.3731,39.9106,33.9011924773001
14,凯德MALL,西直门外大街1号,116.3528,39.9417,嘉茂购物中心·西直门,西外大街1号凯德MALL2层207,116.3528,39.9411,66.7169559867028
15,首开福茂,宋庄路67号,116.4272,39.8464,扑满山,宋庄路71号院扑满山大厦1-3层,116.4264,39.8455,121.15967887179202
16,万达广场B座,新华西街58号院3,116.6407,39.9057,万达广场,北苑一路1号院,116.6406,39.9049,89.36396058800102
17,百尚食工坊,兴华南街马驹桥百尚生活广场B1层,116.5451,39.7531,百尚生活广场,马驹桥兴华中街潼关三区9号楼,116.5449,39.753,20.39528870885905
18,翠微百货,立汤路186号龙德广场1-4层,116.4156,40.0605,龙德广场,立汤路186号,116.4155,40.0597,89.36212009102411
19,西单购物中心,西单北大街132号,116.3746,39.9114,华威约饭街,西单北大街130号华威大厦7层,116.3746,39.9115,11.119492663861031
20,中骏·世界城,金汇路9号,116.4518,39.9177,SOHO尚都,东大桥路8号,116.4515,39.9189,135.86457213351184
21,北京市百货大楼,王府井大街255号,116.41,39.9138,东安市场,王府井大街253-255号,116.4115,39.9138,127.93153659565607
22,那里花园,三里屯北街81号,116.4549,39.9363,3.3大厦,三里屯路33号,116.4546,39.9367,51.30804050243959
23,世纪金源购物中心,远大路1号,116.2886,39.9586,贵友大厦,远大路1号金源新燕莎MALL中部1-3楼,116.2873,39.9583,115.71430989880147
24,北京君太,西单北大街133号,116.3733,39.9095,young街样街,西单北大街131号young街9层,116.3731,39.9106,123.49821311009715
25,老佛爷百货,西单北大街110号,116.3743,39.9139,西单觅食森林,西单北大街111号觅食森林,116.3734,39.9134,94.77887863573015
26,食寶街,羊坊店路18号光耀东方广场,116.322,39.8991,光耀东方广场,羊坊店路18号,116.3222,39.8994,37.46827028828414
27,五道口购物中心,成府路28号,116.3393,39.9917,华联商厦,成府路28号五道口商业中心,116.3394,39.9921,45.28646428046044
28,物美大卖场,新街口北大街1号新华百货B1层,116.3712,39.9474,新华百货,新街口北大街1号,116.3715,39.9474,25.573750989810645
29,翠微百货,复兴路33号、29号,116.3039,39.9084,翠微广场,复兴路29号,116.3054,39.9083,128.42400770185313
30,第5大道精品休闲购物广场,慧忠北里309-6号,116.4075,40.0029,日购商城,慧忠北里309-6号第五大道精品休闲购物广场B1层,116.407,40.0033,61.579575819856395
