,mall_name1,address1,lon1,lat1,mall_name2,address2,lon2,lat2,distance
0,长沙IFS国金中心,解放西路188号,112.9799,28.1917,九龙仓,解放西路,112.9788,28.1923,126.77892350548619
1,悦方ID MALL,坡子街216号,112.9751,28.1897,悦荟广场,黄兴南路445号,112.975,28.191,144.88525536533083
2,国金街,五一大道,112.9759,28.1939,平和堂百货,黄兴中路88号,112.977,28.1945,126.77703674976762
3,国金街,五一大道,112.9759,28.1939,王府井百货,黄兴中路27号,112.9758,28.1926,144.88523738016247
4,国金街,五一大道,112.9759,28.1939,7mall购物美学中心,五一大道635号,112.9758,28.1947,89.49414967830162
5,国金街,五一大道,112.9759,28.1939,春天百货,黄兴中路63-65号,112.9759,28.194,11.119492664214691
6,平和堂百货,黄兴中路88号,112.977,28.1945,新世界百货,五一西路153号,112.9782,28.1947,119.68598302999486
7,平和堂百货,黄兴中路88号,112.977,28.1945,7mall购物美学中心,五一大道635号,112.9758,28.1947,119.68598302999486
8,平和堂百货,黄兴中路88号,112.977,28.1945,春天百货,黄兴中路63-65号,112.9759,28.194,121.29440170878394
9,新世界百货,五一西路153号,112.9782,28.1947,新世界商贸城,犁头后街126号,112.9783,28.1937,111.62596123886095
10,海信广场,湘江中路二段36号,112.9695,28.1902,华远悠优港,湘江中路与坡子街交口,112.9697,28.191,91.08984256053235
11,7mall购物美学中心,五一大道635号,112.9758,28.1947,庙街,五一大道868号,112.976,28.1957,112.90916068498211
12,7mall购物美学中心,五一大道635号,112.9758,28.1947,春天百货,黄兴中路63-65号,112.9759,28.194,78.45097819717331
13,世纪金源购物中心,金泰路199号,112.9795,28.2511,佰能商城,金泰路199号世纪金源购物中心B1层佰能数码城,112.9795,28.2511,0.0
14,庙街,五一大道868号,112.976,28.1957,2751 YOLO城市广场,定王台街道黄兴中路92号,112.9767,28.1959,72.11493330376982
15,庙街,五一大道868号,112.976,28.1957,粉巢,吉祥街安妮公主意大利冰淇淋旁,112.9761,28.1965,89.49413160458278
16,奥克斯广场,岳麓大道57号,112.9544,28.2231,平和堂百货,岳麓大道57号奥克斯广场1层,112.9543,28.2234,34.76750406979532
17,奥克斯广场,岳麓大道57号,112.9544,28.2231,平和堂,银双路大官米线旁,112.9548,28.2234,51.46502323950573
18,2751 YOLO城市广场,定王台街道黄兴中路92号,112.9767,28.1959,粉巢,吉祥街安妮公主意大利冰淇淋旁,112.9761,28.1965,88.93024913735238
19,麓南青年街,清水路金纳斯酒店西北,112.9322,28.163,中南·麓南商业广场,清水路59号,112.9328,28.1626,73.74203053530925
20,通程名品金色家族,劳动西路589号,112.9943,28.1699,平和堂百货,韶山北路498号,112.9945,28.1707,91.09064333191871
21,平和堂百货,岳麓大道57号奥克斯广场1层,112.9543,28.2234,平和堂,银双路大官米线旁,112.9548,28.2234,48.98750234172117
22,步步高,枫林三路长沙西中心底商,112.9137,28.2087,方圆荟,玉兰路长沙西中心底商,112.9128,28.2082,104.25223055185158
23,红星商业广场,中意一路478号,113.0147,28.1097,通程商业广场,湘府东路二段517号,113.0161,28.1094,141.30500593244724
