,mall_name1,address1,lon1,lat1,mall_name2,address2,lon2,lat2,distance
0,伊藤洋华堂,红星路三段大科甲巷8号,104.0786,30.655,伊势丹,大科甲巷6号,104.0793,30.6548,70.55561230964206
1,王府井百货,总府路15号,104.0794,30.6581,茂业百货,总府路12号天桥下边,104.0786,30.6577,88.50963270717169
2,银泰中心in99,天府大道北段1199号,104.0697,30.5858,伊势丹,天府大道北段1199号,104.0693,30.585,96.84663302187298
3,仁和新城,府城大道西段505号,104.0532,30.5877,仁和春天广场,石羊场街道仁和村,104.0525,30.5871,94.55649827237619
4,IFS国际金融中心,红星路步行街3段1号,104.0814,30.6548,连卡佛LaneCrawford,红星路步行街3段1号ifs国际金融中心3，4层,104.081,30.6551,50.76212870052248
5,伊藤洋华堂,光华大道三段1666号,103.864,30.6857,珠江广场,光华大道三段1588号,103.8635,30.6851,82.08056747125245
6,伊藤洋华堂,二环路东五段29号,104.0971,30.6221,万达广场,二环路东五段68号,104.0965,30.6209,145.26148995307022
7,伊藤洋华堂,天府二街999号,104.0443,30.5502,建发·鹭洲里,天府二街1033号,104.0431,30.5503,115.44785160146336
8,天虹百货,锦城大道666号奥克斯广场西区B1-4层,104.0615,30.5762,奥克斯广场,锦城大道666号,104.0615,30.5763,11.119492664568353
9,新世界百货,顺城街8号,104.0716,30.656,中环广场,顺城街8号,104.0717,30.6563,34.70282605046877
10,新世界百货,顺城街8号,104.0716,30.656,春熙village,东大街上东大街段111号,104.0728,30.6556,123.10202706886967
11,中环广场,顺城街8号,104.0717,30.6563,春熙village,东大街上东大街段111号,104.0728,30.6556,130.88096291058102
