,mall_name1,address1,lon1,lat1,mall_name2,address2,lon2,lat2,distance
0,重百商场,小龙坎新街77号,106.4632,29.5581,凯德广场,小新街29号,106.4629,29.5568,147.4370643337521
1,重百商场,小龙坎新街77号,106.4632,29.5581,新世纪百货·凯瑞商都,双巷子街6号煌华·新纪元购物广场1-5层,106.4618,29.5582,135.8686972531248
2,重庆星光68广场,洋河一路68号,106.5314,29.5783,茂业天地,建新北路16号,106.5312,29.5774,101.9272488834186
3,解放碑英利大融城,解放碑民权路26号八一广场对面,106.5751,29.5563,英利国际金融中心,民权路26号英利·大融城1层底商,106.5751,29.5563,0.0
4,解放碑英利大融城,解放碑民权路26号八一广场对面,106.5751,29.5563,新世纪百货,青年路18号解放碑步行街,106.5756,29.5575,141.92789156402725
5,新世界百货,观音桥步行街6号,106.533,29.574,CIC天和里购物中心,观音桥步行街10号新上海商业广场旁边,106.5343,29.5741,126.21155697994175
6,新世界百货,观音桥步行街6号,106.533,29.574,融恒·盈嘉中心,观音桥步行街2号,106.5337,29.573,130.1809642344018
7,新世界百货,观音桥步行街6号,106.533,29.574,新世纪百货世纪新都店,观音桥步行街9号苏宁电器南行100米,106.5322,29.573,135.4620712842946
8,解放碑商业大厦,八一路168号,106.577,29.5561,八一广场,八一路238号,106.5766,29.555,128.28781858657894
9,解放碑商业大厦,八一路168号,106.577,29.5561,重百大楼,民权路2号,106.5763,29.5572,139.8038562942455
10,远东百货,北城天街6号北城天街购物广场4层,106.5338,29.5783,龙湖北城天街,洋河路6，8，10号,106.5334,29.5779,58.94547291912686
11,新光天地,龙溪街道红锦大道89号,106.5217,29.5947,新光里,嘉州路92号,106.5206,29.5947,106.35735558546772
12,重庆时代广场,邹容路100号,106.5772,29.5581,WFC环球购物中心,民族路188号,106.5778,29.5591,125.42822500085981
13,重庆时代广场,邹容路100号,106.5772,29.5581,重百大楼,民权路2号,106.5763,29.5572,132.63888120548182
14,重庆时代广场,邹容路100号,106.5772,29.5581,PARK108国泰优活城市广场,五四路国泰艺术中心前面,106.5761,29.5585,115.31841587654753
15,凯德广场,小新街29号,106.4629,29.5568,王府井百货,沙坪坝小新街49号,106.4641,29.5569,116.60112126131555
16,凯德广场,小新街29号,106.4629,29.5568,印象汇,小龙坎新街029号华宇广场1号,106.463,29.5566,24.251382237373363
17,万达广场,江南大道8号星光时代广场对面,106.5691,29.5259,万达百货,南城大道8号万达广场1-4层,106.5689,29.526,22.31813435673382
18,CIC天和里购物中心,观音桥步行街10号新上海商业广场旁边,106.5343,29.5741,融恒·盈嘉中心,观音桥步行街2号,106.5337,29.573,135.3800139388563
19,融恒·盈嘉中心,观音桥步行街2号,106.5337,29.573,新世纪百货世纪新都店,观音桥步行街9号苏宁电器南行100米,106.5322,29.573,145.06394461885137
20,龙湖重庆时代天街,长江二路174号,106.5119,29.5356,时代天街C馆,时代大道龙湖时代天街内,106.5119,29.5363,77.83644865127116
21,王府井百货,沙坪坝小新街49号,106.4641,29.5569,印象汇,小龙坎新街029号华宇广场1号,106.463,29.5566,111.50418180022373
22,英利国际金融中心,民权路26号英利·大融城1层底商,106.5751,29.5563,新世纪百货,青年路18号解放碑步行街,106.5756,29.5575,141.92789156402725
23,大都会东方广场,邹容路68号,106.5793,29.5577,远东百货,解放碑邹容路68号,106.5787,29.5576,59.09005306424381
24,新世纪百货,青年路18号解放碑步行街,106.5756,29.5575,重百大楼,民权路2号,106.5763,29.5572,75.47864331061479
25,新世纪百货,青年路18号解放碑步行街,106.5756,29.5575,PARK108国泰优活城市广场,五四路国泰艺术中心前面,106.5761,29.5585,121.25666299917675
26,华宇广场,渝碚路15号,106.4623,29.5555,印象汇,小龙坎新街029号华宇广场1号,106.463,29.5566,139.8040510191738
27,重百大楼,民权路2号,106.5763,29.5572,PARK108国泰优活城市广场,五四路国泰艺术中心前面,106.5761,29.5585,145.8420603291526
28,N37品质生活中心,黄山大道中段6号星汇两江艺术商业中心6区6楼,106.504,29.6175,天琴座,北部新区黄山大道中段6号5、6区N37天琴座,106.5039,29.6174,14.733893311999216
29,KLand小时代梦想艺术乐园,袁家岗奥体路1号,106.5115,29.5285,中新城上城,奥体路1号,106.5114,29.5288,34.733227001114756
