,mall_name1,address1,lon1,lat1,mall_name2,address2,lon2,lat2,distance
0,凯德广场云尚,云城西路890号,113.2694,23.181,缤纷天地,云城西路880号,113.2688,23.1802,108.04918997774234
1,凯德广场云尚,云城西路890号,113.2694,23.181,白云绿地中心,云城西路与齐心路交叉口,113.2693,23.1808,24.475645467361048
2,保利时光里,建设大马路18号,113.2819,23.1369,中环广场北区,建设中马路2-4,113.2819,23.1373,44.47797065756609
3,ifc国金天地,珠江西路5号广州国际金融中心,113.323,23.1185,友谊商店,珠江西路5号,113.3227,23.1189,54.03263839511337
4,百信广场,机场路1399号,113.2618,23.1946,广百百货,机场路1399号,113.2621,23.1939,83.65816054198729
5,正佳广场,天河路228号,113.327,23.1322,Hi百货,天河路228号正佳广场4层,113.3271,23.1321,15.106420604832845
6,正佳广场,天河路228号,113.327,23.1322,友谊商店,天河路228号正佳广场1层到4层,113.3276,23.1318,75.77920586858191
7,花城汇,珠江东路30号花城广场,113.3242,23.1205,花城汇中区,花城大道89号高德置地广场·秋,113.3242,23.1206,11.119492664214691
8,天河城百货,天河路208号天河城2-7层,113.3231,23.1323,广州天河城购物中心,天河路208号,113.3226,23.1324,52.32261441780137
9,时尚天河商业广场,天河路299号,113.3252,23.134,时尚天河店,天河路299号时尚天河商业广场B2层,113.3252,23.134,0.0
10,粤海仰忠汇,北京路168号,113.2701,23.1196,天河城尚品荟,北京路粤海仰忠汇B1楼,113.27,23.1196,10.226455419305127
11,粤海仰忠汇,北京路168号,113.2701,23.1196,潮楼,北京路182号,113.2695,23.1208,146.86548013372533
12,奥园广场,桥南街福德路281号,113.3583,22.9242,奥园广场购物中心,福德路281号奥园广场4层403号商铺,113.3573,22.9243,103.01470325774585
13,友谊商店,环市东路369号,113.2874,23.1376,丽柏广场,环市东路367号,113.2865,23.1376,92.02574940819095
14,友谊商店,环市东路369号,113.2874,23.1376,世贸新天地,环市东路371-375号,113.2875,23.1367,100.5964488229861
15,广州天河城购物中心,天河路208号,113.3226,23.1324,天河又一城,体育西路54号南段,113.3221,23.1335,132.57000657970164
