,mall_name1,address1,lon1,lat1,mall_name2,address2,lon2,lat2,distance
0,柏联广场,三市街6号,102.7107,25.0353,百盛,三市街6号柏联广场1层,102.7108,25.0352,15.004816073433359
1,柏联广场,三市街6号,102.7107,25.0353,昆明百货,三市街与顺城街交叉口西50米,102.7094,25.0358,142.2839718560795
2,万达广场,前兴路688号,102.71,25.0075,万达百货,前兴路688号,102.7097,25.0076,32.21130220437107
3,顺城购物中心,东风西路11号,102.7075,25.0356,王府井百货,沿河路7号,102.7068,25.0355,71.3945853463542
4,南亚风情第壹城,滇池路569号南亚风情第一城阳光酒店旁,102.6835,25.0096,中央商业广场,滇池路569号,102.6841,25.0094,64.42170349822449
5,南亚风情第壹城,滇池路569号南亚风情第一城阳光酒店旁,102.6835,25.0096,星光天地,杨家路西150米,102.6839,25.0087,107.88793021135496
6,公园1903,海宏路与前卫西路交叉口北侧,102.6763,24.9855,金格奥特莱斯购物中心,前卫西路19号,102.6765,24.9858,38.97591158865938
7,正义坊购物中心,正义路100号,102.7096,25.0404,金碧辉煌大厦,金碧路与正义路交叉口东北角,102.7099,25.0393,125.9930996190066
8,百大新天地,东风西路2号,102.7097,25.0367,昆明百货,三市街与顺城街交叉口西50米,102.7094,25.0358,104.53989710712379
9,世纪金源购物中心,金源大道一号,102.7623,24.9774,世纪城,世纪金源购物中心B1层,102.7611,24.9773,121.46451549449291
10,爱琴海购物公园,广福路488号,102.685,24.9924,玫瑰天街,广福路426号,102.684,24.9929,115.10109414051097
11,新螺蛳湾商贸城,彩云北路5151号,102.7761,24.9328,中豪.螺蛳湾国际商贸城,新昆洛路宏仁片区、彩云北路5151号,102.7761,24.9328,0.0
12,新螺蛳湾商贸城,彩云北路5151号,102.7761,24.9328,新螺狮湾国际商贸城,彩云北路5151号,102.7761,24.9328,0.0
13,新西南,人民中路21号,102.7148,25.0421,时尚女人广场,人民中路21号新西南旁边,102.7154,25.0425,75.04611793353995
14,新西南,人民中路21号,102.7148,25.0421,百盛,人民中路17号,102.7148,25.0418,33.35847799370506
15,星天地商业广场,星休路新亚洲体育城,102.7655,24.9474,星耀购物广场,新亚洲体育城星天地商业广场S11幢1-003室,102.7642,24.947,138.40743171237912
16,金方购物广场,金方超市斜对面清远街十味饺子馆旁边童装店童真阁,103.143,24.9168,福万家购物中心,清远街178号,103.144,24.9169,101.45610378439366
17,时尚女人广场,人民中路21号新西南旁边,102.7154,25.0425,百盛,人民中路17号,102.7148,25.0418,98.55024921067317
18,明通商场,明通路,102.7181,25.0228,双龙商场,环城南路985号,102.719,25.0236,127.02907872631047
19,中豪.螺蛳湾国际商贸城,新昆洛路宏仁片区、彩云北路5151号,102.7761,24.9328,新螺狮湾国际商贸城,彩云北路5151号,102.7761,24.9328,0.0
20,金格百货,白塔路131号,102.7263,25.0361,汇都国际,白塔路131号,102.7271,25.036,81.3612145888302
21,新世界百货,青年路432号,102.7158,25.0374,华一广场,青年路387号,102.7167,25.0371,96.61331386927209
22,中央商业广场,滇池路569号,102.6841,25.0094,星光天地,杨家路西150米,102.6839,25.0087,80.40330621173662
23,福万家购物中心,清远街178号,103.144,24.9169,宜良百货大楼,清远街174号,103.1446,24.9169,60.50692743477069
