,mall_name1,address1,lon1,lat1,mall_name2,address2,lon2,lat2,distance
0,金鹰天地广场,双龙大道1688号,118.8205,31.9328,金鹰天地广场,双龙大道1680号,118.8209,31.9318,117.42729234712056
1,万达广场,竹山路68号,118.8438,31.9514,万达百货,竹山路68号,118.8438,31.9512,22.238985328429383
2,吾悦广场,湖北路51号狮子桥步行街对面,118.7765,32.0675,中央城市奥莱,中山北路86号,118.775,32.0678,145.22663711604488
3,金鹰国际购物中心,汉中路89号,118.7807,32.0414,友谊广场,汉中路27号,118.7819,32.0415,113.65245228906792
4,金鹰国际购物中心,汉中路89号,118.7807,32.0414,金轮新天地,汉中路8号,118.78,32.0426,148.8549990512697
5,南京国际金融中心,汉中路1号南京国际金融中心负一楼,118.7831,32.041,友谊广场,汉中路27号,118.7819,32.0415,126.03321237542895
6,南京国际金融中心,汉中路1号南京国际金融中心负一楼,118.7831,32.041,House of Fraser 东方福来德,中山南路2号,118.7836,32.0403,90.99230523334278
7,苏宁生活广场,淮海路68号,118.7871,32.0371,印象汇,洪武路88号,118.7868,32.0379,93.34241154632781
8,苏宁生活广场,淮海路68号,118.7871,32.0371,淘淘巷,新街口淮海路,118.788,32.0374,91.1572489553417
9,水平方,建康路3号,118.7872,32.0235,鹏欣水游城,建康路1号,118.7857,32.0235,141.41170493427117
10,新百,中山南路1号,118.7849,32.0406,House of Fraser 东方福来德,中山南路2号,118.7836,32.0403,126.99370425375724
11,House of Fraser 东方福来德,中山南路2号,118.7836,32.0403,大洋百货,中山南路122号,118.7834,32.0391,134.75900763901933
12,鹏欣水游城,建康路1号,118.7857,32.0235,茂业天地,建康路2号,118.7855,32.0224,123.75915508368101
13,大洋百货,中山南路122号,118.7834,32.0391,环亚广场,石鼓路33号,118.782,32.0386,143.1959627903446
14,万尚城,双龙大道1355号,118.8222,31.9425,同曦假日百货,胜太路8号,118.8224,31.9437,134.76178791855693
15,印象汇,洪武路88号,118.7868,32.0379,淘淘巷,新街口淮海路,118.788,32.0374,126.03720392529667
