,mall_name1,address1,lon1,lat1,mall_name2,address2,lon2,lat2,distance
0,万达广场,广富林路658弄,121.243,31.0577,松江万达,广富林路658弄,121.2428,31.0579,29.283302358469896
1,湖滨道购物中心,湖滨路150号,121.479,31.221,无限极荟购物中心,湖滨路168号,121.4778,31.2205,126.93332638245502
2,上海爱琴海购物公园,吴中路1588号,121.373,31.1745,新华·红星国际广场,虹井路188号,121.3723,31.1735,129.6126783031962
3,中海环宇荟,黄陂南路838弄中海环宇荟,121.4768,31.2117,LuOne凯德晶萃广场,徐家汇路268号,121.4772,31.2106,128.09327783621035
4,太平洋森活天地,淞沪路199号,121.5128,31.3068,创智天地,淞沪路234号-303号,121.5116,31.306,144.6047603865198
5,新世界大丸百货,南京东路228号,121.4855,31.2383,恒基名人购物中心,南京东路155号,121.4842,31.2376,146.0634484738782
6,港汇恒隆广场,虹桥路1号,121.4373,31.1944,太平洋百货,衡山路932号,121.4385,31.1951,138.15449768162586
7,港汇恒隆广场,虹桥路1号,121.4373,31.1944,东方商厦,漕溪北路8号,121.438,31.1932,149.1237360584487
8,张园·丰盛里,茂名北路与南京西路交叉口,121.4592,31.2279,湟普汇,吴江路269号,121.4593,31.2291,133.77226015972573
9,上海环球金融中心,世纪大道100号,121.5075,31.2343,览海国际广场,世纪大道160号,121.5085,31.235,122.87476673226183
10,芮欧百货,南京西路1601号,121.4475,31.2232,久光百货,南京西路1618号,121.4462,31.2238,140.4700796335155
11,金茂时尚生活中心,世纪大道88号金茂大厦裙楼内,121.5055,31.2352,上海中心 ·上海之品商场,陆家嘴环路479号,121.5059,31.2341,128.09046982725488
12,上海世茂广场,南京东路829号,121.4755,31.2346,第一百货商业中心,南京东路800-830号,121.4747,31.2352,101.1757221713832
13,上海世茂广场,南京东路829号,121.4755,31.2346,新世界城,南京西路2-68号,121.474,31.2349,146.4652177448844
14,上海陆家嘴中心 L+MALL,浦东南路899号,121.5153,31.2313,上海老佛爷百货,浦东南路899号,121.5152,31.2315,24.18626972269582
15,上海陆家嘴中心 L+MALL,浦东南路899号,121.5153,31.2313,世界广场,浦东南路855号,121.515,31.2323,114.79518018989043
16,中庚·漫游城,闵虹路与万源路交叉口,121.3986,31.1311,南方友谊商城,沪闵路7250号,121.4,31.1312,133.71697504363047
17,第一百货商业中心,南京东路800-830号,121.4747,31.2352,新世界城,南京西路2-68号,121.474,31.2349,74.44596276365034
18,BFC外滩金融中心,中山东二路600号,121.4983,31.226,BFC南区商场,中山东二路600号,121.4984,31.2254,67.3911440564931
19,新天地广场,淮海中路333号,121.4742,31.2227,上海K11购物艺术中心,淮海中路300号,121.4735,31.2234,102.41606880007713
20,新天地广场,淮海中路333号,121.4742,31.2227,香港广场,淮海中路282号-283号,121.4749,31.223,74.45364473079161
21,百联世纪购物中心,世纪大道1217号,121.5273,31.2301,浦东世纪大都会,福山路312号,121.5274,31.2297,45.4829189772621
22,上海K11购物艺术中心,淮海中路300号,121.4735,31.2234,香港广场,淮海中路282号-283号,121.4749,31.223,140.35806804526712
23,香港广场,淮海中路282号-283号,121.4749,31.223,力宝广场,淮海中路222号,121.4756,31.2242,149.11437124892936
24,上海老佛爷百货,浦东南路899号,121.5152,31.2315,世界广场,浦东南路855号,121.515,31.2323,90.96575381475132
25,永新坊,天钥桥路131号,121.4422,31.192,城开YOYO,上海徐家汇天钥桥路123号,121.442,31.1924,48.37563955986314
26,中信泰富广场,南京西路1168号,121.4558,31.2282,梅龙镇广场,南京西路1038号,121.4567,31.2289,115.67891600683619
27,南方友谊商城,沪闵路7250号,121.4,31.1312,百联南方购物中心,沪闵路7388号,121.4011,31.1317,118.54527737656433
28,百盛,莘庄都市路5001号仲盛世界商城,121.3876,31.1072,仲盛世界商城,莘庄都市路5001号,121.3871,31.1072,47.602668650371335
29,嘉里不夜城企业坊,梅园路277号,121.4581,31.245,太平洋百货,天目西路218号,121.457,31.2451,105.16304684864028
30,第一八佰伴,张杨路501号,121.517,31.2282,三鑫世界商厦,张杨路579号1-3F,121.5184,31.2283,133.58086209615104
31,上海湾生活时尚中心,浦东南路1138号,121.5148,31.2271,1088广场,浦东南路1088号,121.5151,31.2281,114.79549522229252
32,MORE MEE时尚生活中心,张杨路588号,121.519,31.2277,三鑫世界商厦,张杨路579号1-3F,121.5184,31.2283,87.78325985237832
33,恒基名人购物中心,南京东路155号,121.4842,31.2376,悦荟广场,南京东路353号,121.4836,31.2367,115.19205987692213
34,恒基名人购物中心,南京东路155号,121.4842,31.2376,宏伊国际广场,南京东路299号,121.4846,31.2369,86.63015883661015
35,东方商厦,真光路1288号百联购物广场内,121.3834,31.2456,百联中环购物广场,真光路1288号,121.3837,31.2456,28.519887707452966
36,三湘商业广场,横港公路37-45号,121.26,31.1173,保利悦活荟,泗宝路41号,121.2606,31.1162,134.99341092769765
37,悦荟广场,南京东路353号,121.4836,31.2367,宏伊国际广场,南京东路299号,121.4846,31.2369,97.64146964240656
38,梅龙镇广场,南京西路1038号,121.4567,31.2289,梅龙镇伊势丹百货,南京西路1038号,121.4571,31.229,39.625357029789214
39,鹿都国际商业广场,松汇中路568号,121.2347,31.0051,乐坊松汇生活广场,松汇中路568号鹿都国际商业广场内,121.2355,31.0057,101.31423941346418
40,乐荟天地,高科西路899号,121.5082,31.1857,中建广场,东明路高科西路地铁站4出口,121.5083,31.186,34.68830282170548
