,mall_name1,address1,lon1,lat1,mall_name2,address2,lon2,lat2,distance
0,大悦城c座,小什字街,123.4694,41.8029,大悦城b馆,大什字街197号,123.4685,41.8035,100.08160882925858
1,商业城,中街路212号,123.4621,41.802,益田假日世界,中街路268号,123.4636,41.8016,132.05221774787873
2,商业城,中街路212号,123.4621,41.802,HK01流行馆,中街路205号HK01流行馆5层,123.4614,41.8012,106.20694754023481
3,新玛特,小东路1号新玛特F5,123.465,41.8021,盾安新一城,中街路268号,123.464,41.8032,147.7549425032549
4,新玛特,小东路1号新玛特F5,123.465,41.8021,益田假日世界,中街路268号,123.4636,41.8016,128.67788344026067
5,印象城,中华路15号,123.3988,41.7923,万达广场,太原南街2号,123.3987,41.7913,111.5035516831164
6,印象城,中华路15号,123.3988,41.7923,百盛,中华路21号百盛太原街店5层,123.4003,41.7918,136.21776967136353
7,印象城,中华路15号,123.3988,41.7923,潮汇店,中华路与民族北街交叉口北50米,123.3984,41.7934,126.72989532262669
8,大悦城,小东路6号,123.4671,41.8024,大悦城,小东路9号,123.4671,41.8026,22.238985328429383
9,万达广场,太原南街2号,123.3987,41.7913,百盛,中华路21号百盛太原街店5层,123.4003,41.7918,143.82690557859524
10,佳兆业广场,青年大街173号,123.4366,41.7658,茂业百货,青年大街185号,123.4362,41.7646,137.49620621800653
11,中兴商业大厦,太原街86号,123.4005,41.7935,玖伍文化城,太原北街95号玖伍文化城2层,123.402,41.7929,141.1198078973157
12,中兴商业大厦,太原街86号,123.4005,41.7935,中兴方城,太原北街86号中兴商业大厦8楼,123.4002,41.7939,50.959063397188835
13,卓展购物中心,北京街7-1号,123.434,41.8088,新华天玺广场,金廊商圈北京街,123.4339,41.8077,122.5949110690182
14,卓展购物中心,北京街7-1号,123.434,41.8088,tanni卓展购物中心店,北京街7-1号卓展购物中心4层,123.4336,41.8088,33.15270594872814
15,五爱市场服装城东7门,小南街103号,123.4537,41.7868,五爱市场服装城西4门,热闹路77号,123.4522,41.7866,126.33826295504075
16,龙之梦购物中心,滂江街22号,123.4882,41.8073,小商品大世界,滂江街22号,123.4869,41.808,132.92175699733954
17,铁西百货,兴华南街16号铁西百货,123.3687,41.7919,西都商业城,新华街小六路30号,123.3678,41.7918,75.43733082662139
18,乐购生活购物中心,浑南新区金卡路16号,123.4656,41.737,亿丰时代广场,金卡路16号,123.4642,41.7366,124.38869991004394
19,中信泰富又一城,塔湾街11号,123.3758,41.8276,环宇城购物中心,昆山西路75号,123.3759,41.8281,56.2114840686482
20,温州城,民族南街68号甲1,123.3956,41.7906,中国·食品城,南一马路与民族南街交叉口西南,123.396,41.7906,33.16212294477635
21,新华天玺广场,金廊商圈北京街,123.4339,41.8077,tanni卓展购物中心店,北京街7-1号卓展购物中心4层,123.4336,41.8088,124.81615525301527
22,碧塘休闲购物广场,辽宁沈阳长江街15号碧塘公园西,123.4143,41.8206,地一大道,长江街15号碧塘公园,123.4133,41.8208,85.79864379833917
23,五爱国际商贸城-城北1门,热闹路65号,123.4513,41.7874,五爱市场服装城西4门,热闹路77号,123.4522,41.7866,116.10835329211599
