,mall_name1,address1,lon1,lat1,mall_name2,address2,lon2,lat2,distance
0,天河城,赤峰道与和平路交叉口旁,117.2042,39.127,Ｄ26潮玩星球,天津天河城购物中心2F,117.2041,39.1272,23.853281549089488
1,于家堡环球购,新华路于家堡自贸区环球购地下商业街,117.6814,38.9966,于家堡堡子里21号文化创意社区,于家堡站环球购商业街,117.6813,38.9966,8.641884056873614
2,天津国金中心商场,南京路108号,117.1973,39.1192,伊势丹,南京路108号,117.1972,39.1192,8.626891835015144
3,天津国金中心商场,南京路108号,117.1973,39.1192,米莱欧百货,南京路209号,117.1962,39.1187,109.98343797444215
4,凯文汇,狮子林大街和翔纬路交口,117.1983,39.1474,友谊新都市百货,狮子林大街200号,117.1991,39.1477,76.62925841678921
5,大悦城·旺街,南门外大街2号,117.1792,39.1357,南开大悦城,南门外大街2-6号,117.1798,39.1352,75.95445610017242
6,仁恒置地广场,东马路137号,117.1911,39.1391,新安购物广场,东马路138号旁,117.1902,39.1401,135.60643331913693
7,伊势丹,南京路108号,117.1972,39.1192,米莱欧百货,南京路209号,117.1962,39.1187,102.63263135887149
8,嘉华国际商业中心,华昌大街70号,117.2225,39.1377,远洋未来广场,新开路71号,117.2217,39.1387,130.86187887230665
9,天津国贸购物中心,南京路39号五大道文化旅游区旁,117.2158,39.1139,天津国贸购物中心,南京路39号,117.2164,39.1137,56.34022206835056
10,新世界百货,东马路138号,117.1897,39.1402,新安购物广场,东马路138号旁,117.1902,39.1401,44.53221407503017
11,友谊商厦,友谊路21号,117.2038,39.0924,恒基广场,友谊路16号,117.2029,39.0934,135.63589564032108
12,万达广场,津滨大道53号,117.2544,39.1243,万达百货,津滨大道53号河东万达广场3层,117.2547,39.1242,28.166584087659658
13,恒隆广场,兴安路166号,117.1999,39.128,劝业场商场,和平路290号,117.2006,39.1268,146.4598915823715
14,乐宾百货,南京路128号,117.1946,39.1195,华开城,南京路219号,117.1933,39.1194,112.69909166145669
15,乐宾百货,南京路128号,117.1946,39.1195,国际商场,南京路211号,117.1943,39.1186,103.36781270421838
16,华开城,南京路219号,117.1933,39.1194,国际商场,南京路211号,117.1943,39.1186,123.91742421078648
