,mall_name1,address1,lon1,lat1,mall_name2,address2,lon2,lat2,distance
0,金鹰曲江购物中心,芙蓉南路芙蓉新天地1号楼,108.9737,34.2085,芙蓉新天地广场,芙蓉南路与曲江池西路丁字路口向西300米,108.9744,34.2079,92.70785295027268
1,西安SKP,长安北路261号,108.9488,34.2476,世纪金花,环城南路东段336号,108.9489,34.2488,133.7501092116977
2,万达广场,雁塔路北段8号,108.9621,34.2435,万达百货,雁塔北路8号万达广场1-4层,108.9628,34.2436,65.29747472736267
3,万达广场,雁塔路北段8号,108.9621,34.2435,李家村购物中心,雁塔北路8号万达广场,108.9629,34.2425,133.31122327399797
4,王府井百货熙地港店,未央路170号,108.9454,34.3378,CityOn熙地港（西安）购物中心,未央路170号,108.9461,34.3377,65.22643125509934
5,老城根G park,星火路22号,108.9214,34.2856,龙湖西安大兴星悦荟,大兴东路2号,108.9199,34.2855,138.2584794535943
6,万达百货,解放路111号,108.9638,34.2679,万达广场,解放路111号五路口东南角,108.9643,34.2681,51.0455652030537
7,立丰国际购物广场,金花南路6号,108.9975,34.2474,百盛,金花南路59号,108.9972,34.2473,29.732206833587774
8,MOMOPARK购物中心,小寨西路与含光路交叉口东南角,108.9324,34.2223,秋林公司,吉祥路,108.9314,34.2233,144.28338617347757
9,开米广场,长安中路38号,108.9464,34.2245,海港城,长安中路177号,108.9477,34.2253,148.99216698085166
10,万达百货,雁塔北路8号万达广场1-4层,108.9628,34.2436,李家村购物中心,雁塔北路8号万达广场,108.9629,34.2425,122.65932642957289
