mall_name,address,longitude,latitude 
中海环宇城,中意二路111号,112.9860,28.0683
泊富ICITY美好生活中心,芙蓉中路一段416号,112.9846,28.2088
长沙IFS国金中心,解放西路188号,112.9799,28.1917
保利广场,湘龙街道湘龙西路与龙塘路交汇处,113.0513,28.2669
通程商业广场,溁湾镇枫林路2号,112.9525,28.1951
万象汇,星沙大道178号,113.0865,28.2489
王府井Family PARK购物中心,金星中路383号,112.9333,28.2188
友阿奥特莱斯,芙蓉南路三段27号,112.9937,28.0710
CFC富兴时代,芙蓉中路一段303号,112.9879,28.2143
悦方ID MALL,坡子街216号,112.9751,28.1897
国金街,五一大道,112.9759,28.1939
步步高梅溪新天地,枫林三路1099号,112.8628,28.2004
乐和城,黄兴中路188号,112.9766,28.1990
万家丽广场,荷花路与万家丽中路交叉口,113.0316,28.1905
运达中央广场购物中心,长沙大道567号,113.0430,28.1701
平和堂百货,黄兴中路88号,112.9770,28.1945
新世界百货,五一西路153号,112.9782,28.1947
九龙仓,解放西路,112.9788,28.1923
凯德壹中心,潇湘北路与茶子山路交叉口西北角,112.9566,28.2415
万达广场,湘江中路589号,112.9706,28.1996
叮叮mall,劳动西路337号,112.9823,28.1754
海信广场,湘江中路二段36号,112.9695,28.1902
喜盈门范城,万家丽路中段,113.0348,28.1334
德思勤四季汇,湘府中路18号,113.0138,28.1114
王府井百货,黄兴中路27号,112.9758,28.1926
砂之船奥莱,月亮岛路与金星北路交叉口东北角,112.9191,28.2886
中茂城,星沙一桥南侧,113.0760,28.2288
凯德广场,韶山中路421号,112.9953,28.1543
7mall购物美学中心,五一大道635号,112.9758,28.1947
步步高广场,金星中路428号,112.9358,28.2186
天虹,芙蓉南路358号,112.9868,28.1351
世纪金源购物中心,金泰路199号,112.9795,28.2511
华远悠优港,湘江中路与坡子街交口,112.9697,28.1910
长沙五矿live,长沙开福区福元西路,113.0121,28.2512
时代奥特莱斯,金洲新区工业集中区欧洲北路168号,112.6887,28.2691
友谊商城,劳动中路2号,112.9952,28.1684
梅澜坊商业街,环湖路与连湖二路交叉口,112.8974,28.1911
德思勤城市广场,湘府中路18号,113.0114,28.1117
百联奥特莱斯,大元西路,113.2050,28.1987
东方悦邻mall,曙光中路56号,113.0025,28.1768
庙街,五一大道868号,112.9760,28.1957
华远·facemore,湘江中路二段62号,112.9711,28.1895
弘坤花样汇,枫林三路与沐风路交界处东南角,112.8756,28.1965
保利MALL,沙湾路89号,113.0467,28.1562
吾悦广场,东四路松雅湖新城吾悦广场内,113.1012,28.2526
华创国际广场,芙蓉中路一段113号,112.9884,28.2240
金茂览秀城,梅溪湖环湖路1177号,112.9024,28.1964
奥克斯广场,岳麓大道57号,112.9544,28.2231
环球奥特莱斯购物中心,雷锋大道668号,112.8601,28.3222
2751 YOLO城市广场,定王台街道黄兴中路92号,112.9767,28.1959
友谊商店,袁家岭,112.9975,28.1953
河马公园购物中心,福元西路万科城,112.9950,28.2513
正荣·财富中心,唯罗克路与望府路交叉口南150米,112.8329,28.3482
春天百货,黄兴中路63-65号,112.9759,28.1940
万国城MOMA,福元西路199号,112.9973,28.2523
麓南青年街,清水路金纳斯酒店西北,112.9322,28.1630
通程名品金色家族,劳动西路589号,112.9943,28.1699
天虹购物中心,君悦城,113.6262,28.1574
高升时代广场,中意一路798号,113.0120,28.0952
平和堂百货,岳麓大道57号奥克斯广场1层,112.9543,28.2234
粉巢,吉祥街安妮公主意大利冰淇淋旁,112.9761,28.1965
平和堂百货,韶山北路498号,112.9945,28.1707
芙蓉广场,芙蓉中路238号,112.9848,28.1958
悦荟广场,黄兴南路445号,112.9750,28.1910
通程奥特莱斯,长沙大道华晨世纪广场居然之家旁,113.0291,28.1677
步步高生活广场,含浦大道与西二环交口王家湾,112.9256,28.1608
天虹CC MALL,劳动东路260号京武浪琴山裙楼1-3楼,113.0427,28.1573
通程商业广场,板仓路154号,113.0792,28.2441
佰能商城,金泰路199号世纪金源购物中心B1层佰能数码城,112.9795,28.2511
好润佳,长沙大道与白沙湾路交叉口旁,113.0441,28.1686
阿波罗商业广场,车站中路345号,113.0103,28.1967
龙湾商业广场,福元西路108号,112.9934,28.2513
通程商业广场喜乐汇,香樟路819号,113.0302,28.1382
华润置地广场,开元东路与东六线交汇处东北角,113.1087,28.2459
开鑫商城,长开元路17号,113.0826,28.2461
德智园商场,麓山南路501号音乐学院对门,112.9391,28.1657
大米,城南东路117号,113.0067,28.1750
新世界商贸城,犁头后街126号,112.9783,28.1937
丽发国际广场,万家丽南路与汇金路交叉口东100米路南,113.0187,28.0631
魅力之城万科里,劳动东路1299号,113.0673,28.1594
欧亚达国际广场项目,劳动东路和万家丽路交汇处西北角,113.0280,28.1586
通程商业广场,金沙中路1号,113.6275,28.1335
万佳惠,劳动东路与南二环一段交叉口,113.0169,28.1553
财富广场,一环路与八一西路交口东南100米,112.5445,28.2529
平和堂,银双路大官米线旁,112.9548,28.2234
G58智趣MALL,万家丽中路柒桌老火锅旁,113.0390,28.1144
步步高,枫林三路长沙西中心底商,112.9137,28.2087
梅西百货,宁夏路禾田麦香旁,112.8612,28.1982
方圆荟,玉兰路长沙西中心底商,112.9128,28.2082
恒生购物广场,北津城路滨江·海棠湾底商,112.9515,28.2581
中南·麓南商业广场,清水路59号,112.9328,28.1626
新南天古汉国际广场,马王堆北路18号,113.0253,28.2036
宇成朝阳广场,车站中路与人民中路交汇处,113.0102,28.1868
浏阳比一比,淮川街道车站西路1号,113.6254,28.1440
高桥现代商贸城,马王堆南路258号,113.0243,28.1737
红星商业广场,中意一路478号,113.0147,28.1097
通程商业广场,湘府东路二段517号,113.0161,28.1094
新大陆银座,黄兴路步行街南端-南门口广场西南角,112.9757,28.1829
和家生活广场,长镇街黄花镇中心广场1号,113.1896,28.2302
湖南宁乡义乌小商品批发城,玉潭东路18号,112.5692,28.2476
