mall_name,address,longitude,latitude 
城南优品道广场,白衣上街177号,103.9130,30.5957
伊藤洋华堂,红星路三段大科甲巷8号,104.0786,30.6550
王府井百货,总府路15号,104.0794,30.6581
银泰中心in99,天府大道北段1199号,104.0697,30.5858
凯德天府,天仁路388号,104.0692,30.6031
新世纪环球中心,天府大道北段1700号,104.0631,30.5686
伊藤洋华堂,逸都路6号,104.0212,30.6461
首开·龙湖成都西宸天街,金牛大道与中环路交汇处,104.0312,30.6968
永立星城都,二环路与府青路交汇处,104.0998,30.6896
仁和新城,府城大道西段505号,104.0532,30.5877
万象城,双庆路8号,104.1156,30.6494
群光广场,春熙路南段8号,104.0768,30.6540
龙湖金楠天街,晋阳路与晋吉北路交汇处西侧,103.9963,30.6485
成都远洋太古里,纱帽街8号,104.0835,30.6532
悠方购物中心,交子大道300号,104.0572,30.5831
IFS国际金融中心,红星路步行街3段1号,104.0814,30.6548
仁恒置地广场,人民南路2段1号,104.0678,30.6520
伊藤洋华堂,光华大道三段1666号,103.8640,30.6857
龙湖成都时代天街,合作路89号,103.9215,30.7511
中海国际购物公园,蜀西路399号,103.9793,30.7228
汇融广场,大丰街道方元路55号,104.0630,30.7664
成都大悦城,大悦路518号,104.0110,30.6258
来福士,人民南路四段3号,104.0676,30.6316
新尚天地·尚街,柳台大道东段与学府路交叉口,103.8140,30.6812
珠江广场,光华大道三段1588号,103.8635,30.6851
伊藤洋华堂,二环路东二段426号,104.1093,30.6715
水璟唐,锦官驿街1号,104.0859,30.6442
龙湖三千集天街,建设北路三段2号,104.1097,30.6750
中粮鸿云·悦街,汇源北路333号,104.1138,30.6397
世豪广场,剑南大道中段998号,104.0459,30.5495
金科星耀天都,驷马桥西林一街19号,104.0961,30.7003
汇锦广场,盛华北路199号附201号,104.0528,30.5570
海滨城购物中心,蛟龙大道21号,103.9095,30.6033
伊势丹,天府大道北段1199号,104.0693,30.5850
伊藤洋华堂,二环路东五段29号,104.0971,30.6221
银石广场购物中心,红星路三段99号,104.0798,30.6531
城西优品道广场,青羊大道99号,104.0072,30.6643
COSMO财富中心,大业路6号,104.0703,30.6523
凯德广场,盛和一路99号,104.0630,30.6018
BHG Mall购物中心,锦华路172号,103.9872,30.5713
银泰城,益州大道1999号,104.0581,30.5410
苏宁广场·城市奥特莱斯,天府大道北段8号,104.0662,30.6016
优客城市奥特莱斯,建设路55号,104.0995,30.6676
卓锦曼购中心,枫树街2号,104.1362,30.5955
佛罗伦萨小镇成都名品奥特莱斯,银杏路888号,103.8404,30.8104
伊势丹,大科甲巷6号,104.0793,30.6548
万达广场,赵镇瑞居绿岛,104.4168,30.8530
万达广场,二环路东五段68号,104.0965,30.6209
万达广场,日月大道一段978号,103.9733,30.6759
伊藤洋华堂,天府二街999号,104.0443,30.5502
王府井购物中心,科华中路2号,104.0759,30.6188
恒大广场,提督街99号,104.0743,30.6614
连卡佛LaneCrawford,红星路步行街3段1号ifs国际金融中心3，4层,104.0810,30.6551
万达广场,一环路北三段1号,104.0745,30.6866
UPARK公园+,富华北路666号,104.0398,30.5549
天虹百货,锦城大道666号奥克斯广场西区B1-4层,104.0615,30.5762
仁和春天广场,石羊场街道仁和村,104.0525,30.5871
奥克斯广场,锦城大道666号,104.0615,30.5763
百伦广场,小北街老百姓花园,103.8863,30.8105
吾悦广场,桃都大道888号,104.2407,30.5780
凯德广场,交大路183号,104.0446,30.7031
茂业百货,总府路12号天桥下边,104.0786,30.6577
今站购物中心,天府广场负一楼,104.0660,30.6574
万达广场,望从东路347号,103.9063,30.8079
鹏瑞利青羊广场,光华大道一段光华北三路55号,103.9621,30.6703
东航中心,临港路一段32号,103.9756,30.5653
建发·鹭洲里,天府二街1033号,104.0431,30.5503
上古天地,龙潭路33号,104.1657,30.7042
龙湖成都北城天街,五块石路1号,104.0656,30.7099
SM城市广场,二环路东二段29号,104.1123,30.6685
时代·奥特莱斯,双楠大道99号,103.9446,30.6027
伊藤广场,喜树街35号,104.1561,30.6047
西村大院商场,苏坡东路33号,104.0020,30.6713
成都339购物中心,猛追湾街94号,104.0935,30.6615
新世界百货,顺城街8号,104.0716,30.6560
凯德广场,万科路9号,104.1529,30.6268
华润广场,二环路东五段239号,104.0904,30.6200
华熙528艺术村,成龙大道与银木街交汇处,104.1460,30.5887
九方购物中心,天府大道88号,104.0650,30.5899
银海中心,一环路北四段108号,104.0869,30.6799
玉林生活广场,玉林南路15号,104.0578,30.6204
旭海时代广场,雄州大道南段389号,104.5414,30.4063
益州国际广场,益州大道南段588号,104.0554,30.5275
花样年·福年广场,高新区天府三街吉泰路666号,104.0648,30.5477
懿润百货,新中路77号,104.1611,30.8249
晶融汇,东大街99号,104.0817,30.6518
莱蒙都会,二环路南四段51号,104.0341,30.6319
建设路第五大道,建设路26号,104.1025,30.6693
茂业天地,东御街19号,104.0702,30.6570
泛悦mall,长荣路66号,104.0788,30.6127
中环广场,顺城街8号,104.0717,30.6563
仁和春天百货,二环路西二段19号,104.0205,30.6630
春熙village,东大街上东大街段111号,104.0728,30.6556
世茂大厦,猛追湾横街99号,104.0945,30.6702
华宇广场,上沙河铺街789号,104.1216,30.6235
万达广场,东升街道星空路二段399号,103.9268,30.5962
未来中心,东风路26号,104.0954,30.6509
万达广场,永安路与创业北街交叉口旁,104.2700,30.5663
乐天百货,天府大道北段1700号新世纪环球中心-1层到4层,104.0649,30.5681
中国铁建广场,十里店路31号,104.1431,30.6801
