mall_name,address,longitude,latitude 
新天泽国际广场,松青路1099号,106.4805,29.4748
万达广场,经纬大道,106.4752,29.5435
重百商场,小龙坎新街77号,106.4632,29.5581
重庆星光68广场,洋河一路68号,106.5314,29.5783
解放碑英利大融城,解放碑民权路26号八一广场对面,106.5751,29.5563
融汇泉里小镇,梨树湾汇泉路1号,106.4399,29.5434
大融汇商城,新华路88号,106.5854,29.5618
CITY城市广场,南坪惠工路13号,106.5645,29.5254
新世界百货,观音桥步行街6号,106.5330,29.5740
重庆砂之船奥特莱斯,奥特莱斯路1号,106.5651,29.6303
街头艺术广场,新华路玉兔北30米,106.5755,29.5534
泽科星泽汇,群慧路7号,106.5920,29.5843
茂业天地,建新北路16号,106.5312,29.5774
龙湖西城天街,杨家坪步行街珠江路48号,106.5175,29.5108
凯德广场,西郊三村2号,106.5123,29.5004
鎏嘉码头,北滨路一号,106.5603,29.5705
N37·月光之城,金开大道1218号,106.5614,29.6654
解放碑商业大厦,八一路168号,106.5770,29.5561
大洋百货,西郊路3号,106.5147,29.5078
远东百货,北城天街6号北城天街购物广场4层,106.5338,29.5783
新光天地,龙溪街道红锦大道89号,106.5217,29.5947
协信星光广场,五一路大都会旁,106.5808,29.5585
重庆时代广场,邹容路100号,106.5772,29.5581
新世纪百货奥特莱斯,建新北路一支路3号附2-3号,106.5348,29.5754
弹子石万象汇,腾龙大道洋人街转盘西行200米路北,106.5997,29.6018
凯德广场,小新街29号,106.4629,29.5568
万达广场,江南大道8号星光时代广场对面,106.5691,29.5259
新世纪百货,石油路174号,106.5127,29.5378
协信星光时代广场,江南大道28号,106.5714,29.5226
八一广场,八一路238号,106.5766,29.5550
CIC天和里购物中心,观音桥步行街10号新上海商业广场旁边,106.5343,29.5741
商社汇巴南购物中心,新市街80号,106.5242,29.3837
融恒·盈嘉中心,观音桥步行街2号,106.5337,29.5730
龙湖重庆U城天街,大学城北路97号,106.2935,29.6060
爱琴海购物公园,金开大道1003号,106.5483,29.6410
龙湖重庆时代天街,长江二路174号,106.5119,29.5356
万达百货,南城大道8号万达广场1-4层,106.5689,29.5260
永辉广场,盘溪路教科院华渝实验学校对面,106.4801,29.5896
重庆IFS,江北嘴庆云路一号,106.5735,29.5763
财信广场,江北嘴金沙门路56号,106.5716,29.5715
东原1891,南滨路80号,106.5888,29.5450
王府井百货,沙坪坝小新街49号,106.4641,29.5569
仁安N+,新溉大道881号,106.5585,29.5993
大坪英利大融城,大坪正街19号,106.5164,29.5398
金辉铜元道,南滨路12-18号,106.5426,29.5372
炫地购物中心,天陈路1号,106.4600,29.5573
江北大融城,建新北路8号,106.5324,29.5753
万达广场,北滨大道二段998号,108.3842,30.8112
星天广场,观音桥东环路59号附2号,106.5339,29.5766
英利国际金融中心,民权路26号英利·大融城1层底商,106.5751,29.5563
重庆天地,化龙桥瑞天路156号,106.5096,29.5533
棕榈MALL,万年路,106.5422,29.6371
万象城,谢家湾街道谢家湾正街51号,106.5180,29.5166
万达广场,冯时行路与安礼路交叉口东南侧,106.3901,29.7977
熙街,景苑路8号,106.3036,29.6055
万达广场,龙洲大道5号,106.5442,29.3985
大都会东方广场,邹容路68号,106.5793,29.5577
亿象城,南坪商圈南坪广场UG亿象城数码商业街,106.5676,29.5284
悦地购物中心,通江大道186号,106.6427,29.4889
时代天街D馆,长江二路121号,106.5133,29.5339
时代天街C馆,时代大道龙湖时代天街内,106.5119,29.5363
鲤鱼池42号艺术公园商业,观音桥街道鲤鱼池路鲤鱼池三村42号,106.5454,29.5786
新世纪百货,青年路18号解放碑步行街,106.5756,29.5575
龙湖北城天街,洋河路6，8，10号,106.5334,29.5779
华宇广场,渝碚路15号,106.4623,29.5555
WFC环球购物中心,民族路188号,106.5778,29.5591
新光里,嘉州路92号,106.5206,29.5947
新世纪百货·凯瑞商都,双巷子街6号煌华·新纪元购物广场1-5层,106.4618,29.5582
重百大楼,民权路2号,106.5763,29.5572
龙湖源著天街,福康路25号,106.4891,29.5995
印象汇,小龙坎新街029号华宇广场1号,106.4630,29.5566
新世纪百货世纪新都店,观音桥步行街9号苏宁电器南行100米,106.5322,29.5730
爱融荟城,龙山一路冉家坝地铁站2号/3号出口,106.4996,29.6003
洪崖洞商业街,嘉陵江滨江路88号洪崖洞风景区,106.5790,29.5622
新世纪百货,南坪街道南坪北路8号,106.5656,29.5302
PARK108国泰优活城市广场,五四路国泰艺术中心前面,106.5761,29.5585
重庆财富购物中心,洪湖东路1号,106.5087,29.6087
长嘉汇购物公园,南滨路泰昌路69号,106.5878,29.5805
SM广场,松石大道148号,106.4950,29.5829
水木天地都会广场,双湖路1号,106.6176,29.6959
N37品质生活中心,黄山大道中段6号星汇两江艺术商业中心6区6楼,106.5040,29.6175
金港国际,滨港路49号,106.6327,29.7167
动力国际购物广场,泰山大道东段62号,106.5535,29.6033
协信星光天地,经纬大道776号,106.5015,29.5455
金科美邻汇,斑竹路与红竹路交叉口东南150米,106.4754,29.6221
恒大中渝广场,新溉大道与红锦大道交口东南角,106.5218,29.5982
圣名世贸城,两港大道与银梭大道交叉口南200米,106.6228,29.6568
不夜九街,北城天街桃花园小区B区底商,106.5434,29.5797
天琴座,北部新区黄山大道中段6号5、6区N37天琴座,106.5039,29.6174
远东百货,解放碑邹容路68号,106.5787,29.5576
KLand小时代梦想艺术乐园,袁家岗奥体路1号,106.5115,29.5285
中新城上城,奥体路1号,106.5114,29.5288
石桥Style广场,渝州路59号,106.4914,29.5347
万汇中心,北城天街38号,106.5417,29.5795
协信星光天地,金开大道70号,106.5327,29.6280
金源时代购物广场,北滨一路368号,106.5250,29.5571
沙磁巷,沙滨路,106.4548,29.5804
龙湖星悦荟,北滨一路258号,106.5477,29.5697
蘭亭新都汇,兴科大道331号,106.6016,29.6890
东原悦荟新新Park,大石坝红石路37号,106.4971,29.5710
