mall_name,address,longitude,latitude 
金月湾广场,世博北路与东源路交叉口北150米,113.7821,23.0310
万达广场,东纵路208号,113.7807,23.0350
万达广场,体育路8号,113.6728,22.9423
天河城百货,东莞大道第一国际财富中心七区1、2楼,113.7559,23.0096
第一国际,南城图书馆行政中心国际会展中心对面鸿福东路,113.7550,23.0087
汇一城,鸿福路200号第一国际附近,113.7547,23.0068
嘉荣SPAR购物广场,东升路229号星河城2层嘉荣超市,113.7915,23.0217
民盈·国贸城,东城街道火炼树社区鸿福东路1号,113.7629,23.0124
万达广场,虎门镇连升北路388号,113.6835,22.8341
星河城,东晟路229号,113.7905,23.0221
万科城市广场,旗峰路与东城西路交叉口东侧,113.7656,23.0244
君尚百货,东纵大道111号愉景威尼斯广场内,113.7726,23.0386
万科广场,长青南路1号,113.8001,22.8008
天虹,虎门镇金洲社区地标广场天虹1楼,113.6874,22.8093
南城印象汇,鸿福路90号,113.7450,23.0149
家汇生活广场,万江大道与银龙路交汇处,113.7164,23.0347
汇勝城,莞太路与三元路交汇处,113.7395,23.0104
汉邦66广场,兴隆路66号,113.6635,22.9327
海雅百货,东城路283号世博广场A区,113.7768,23.0317
蜂汇广场,宏二路与宏图路交叉口,113.7215,22.9825
世博广场,东城路283号,113.7780,23.0320
万润广场,香市路,113.8694,22.9979
百花时代广场,常平镇市场路1号,113.9947,22.9746
海雅百货,鸿福西路曼哈顿时代83号,113.7416,23.0173
华阳湖创客坊,古梅北路古梅体育馆对面,113.5745,23.0581
万科生活广场,迎宾大道1号,114.0794,22.8097
莱蒙商业中心,鸿福路88号,113.7443,23.0154
喜悦里购物广场,茶山镇茶兴中路与吉祥北路交汇处东北侧,113.8799,23.0707
AEON永旺,朗东路与常朗路交叉口,113.9476,22.9544
万科生活广场,科技产业园区新竹路7号,113.8931,22.9306
天虹,德政中路222号,113.8048,22.8132
汇星商业中心,裕兴路聚龙湾城建办公楼三楼,113.8698,23.1079
地王广场,长青路303号,113.8005,22.8120
万达广场,东门中路1号,113.8214,22.8089
常平供销社购物城,东兴路168号,113.9986,22.9771
嘉荣SPAR购物广场,温塘学前路新世纪星城广场一二层,113.8007,23.0383
益田假日天地,凤岗镇龙平南路1号,114.2076,22.7192
华南MALL,万江路3号,113.7262,23.0350
艺展98休闲广场,众利路与艺展路交叉口东100米,113.7251,22.9901
领尚天地,大岭山镇玉屏路11号,113.8284,22.9067
嘉荣SPAR购物广场,汀山经济合作社商贸广场百悦商业中心二楼,113.7058,22.9310
明丰广场,康乐南路23号,113.6626,22.9274
天虹,常平大道南埔路口,113.9990,22.9683
KKv,东莞大道火炼树民盈·国贸中心一楼,113.7619,23.0123
黄河百货,雁田镇田南路,114.1720,22.6926
濠丰百货广场,溪头西路与下村六巷交叉口,113.6552,22.8906
新世纪长盛广场,美景中路与长和街交叉口东北50米,113.9310,22.9313
嘉荣SPAR购物广场,安泰路与彩虹路交汇处龙珠广场,113.8676,23.0718
万家福购物广场,望牛墩镇望联管理区聚福路文化广播中心3楼,113.6567,23.0521
信华购物中心,长青南路6号,113.8019,22.8013
嘉荣SPAR购物广场,中心北部板湖村环城路与北环路交界处中惠郡庭,114.0148,22.9222
福嘉百货,上江城东路1号,113.7428,23.0683
礼加诚购物广场,常平镇土塘村王氏港建大道,114.0339,22.9589
景湖湾畔商业街商铺,富民步行街东莞南宏远新基管理区沿河路,113.7257,23.0072
嘉荣,吉祥北路宏宇陶瓷旁,113.8783,23.0692
万达百货,东纵路208号,113.7806,23.0354
地王商业城,吉祥路与新兴街交叉口东南100米,114.0724,22.9053
万国购物广场,科技路与丽海路交叉口,113.6333,22.8461
万信佳购物广场,牛山工业园山湖路120号,113.7718,22.9592
嘉荣SPAR购物广场,环市东路1号东港城花园裙楼,114.0993,22.8260
南铭购物中心,富康路46-48号,113.9264,22.9508
星光城,莞樟路与环城路交汇处,114.0126,22.9154
喜乐福购物广场,振兴东七路与景福一横路交叉口西50米,113.6780,23.0074
新天地,王屋向西路信德堂药房旁,113.6857,22.8265
时代城百货,塘厦镇花园新街1号,114.1026,22.8095
联大家私商场-A馆,莞樟路辅路87号附近,113.8130,23.0296
嘉荣SPAR购物广场,中山路383号,113.9647,23.0219
好永百货,虎门镇路长元二路1号铺,113.7108,22.7694
上悦汇,桥头镇桥光大道桥头段165号,114.0983,23.0190
悦港汇,塘厦镇环市西路2号,114.0813,22.8102
嘉荣SPAR购物广场,业东兴大道北东浦农贸市场,114.0948,22.8028
大和名店城,美景中路216号,113.9388,22.9350
东港城商业中心,中堂镇新兴路,113.6627,23.0959
万和百货,振兴南路78号,113.7230,23.0754
家丰时装购物广场,长安镇沙头南区猫山北路50号,113.7598,22.7757
彩怡百货,宏伟路1号,113.7541,22.9953
嘉荣SPAR购物广场,堂镇中麻路中新商贸广场后面,113.6509,23.0891
中孚商业中心,绿色路28号,113.7474,22.9778
