mall_name,address,longitude,latitude 
凯德广场云尚,云城西路890号,113.2694,23.1810
保利时光里,建设大马路18号,113.2819,23.1369
K11购物艺术中心,珠江东路6号,113.3264,23.1181
ifc国金天地,珠江西路5号广州国际金融中心,113.3230,23.1185
天环广场,天河路218号,113.3247,23.1323
高德置地广场,珠江新城花城大道85号,113.3218,23.1203
百信广场,机场路1399号,113.2618,23.1946
正佳广场,天河路228号,113.3270,23.1322
基盛万科中央公园,兴泰路296号,113.3871,22.9318
万菱汇,天河路230-232号,113.3290,23.1327
永旺梦乐城,沙凤三路1号金沙洲商业中心,113.1946,23.1499
花城汇,珠江东路30号花城广场,113.3242,23.1205
花城汇,黄埔大道西74号,113.3247,23.1264
天河城百货,天河路208号天河城2-7层,113.3231,23.1323
时尚天河商业广场,天河路299号,113.3252,23.1340
骏壹万邦广场,曙光大道81号,113.2267,23.4059
侨鑫国际商场,华夏路与华明路交口东北角,113.3218,23.1226
同和金铂天地,广州大道北同和大街1号,113.3257,23.1964
东方宝泰购物广场,林和中路63号,113.3247,23.1476
天汇广场igc,兴民路222号,113.3318,23.1158
粤海仰忠汇,北京路168号,113.2701,23.1196
奥园广场,桥南街福德路281号,113.3583,22.9242
友谊商店,环市东路369号,113.2874,23.1376
广州天河城购物中心,天河路208号,113.3226,23.1324
天河城百货,中山大道中437号天银商贸大厦,113.4047,23.1220
友谊商店,珠江西路5号,113.3227,23.1189
5号停机坪购物广场,云霄路353栋旧白云机场候机楼内,113.2654,23.1808
广州来又来时尚购物广场,新华龙珠路39号,113.2321,23.3982
Hi百货,天河路228号正佳广场4层,113.3271,23.1321
丽柏广场,环市东路367号,113.2865,23.1376
太古汇,天河路383号,113.3326,23.1340
祈福缤纷世界,福怡路38号,113.3324,22.9696
太阳新天地购物中心,马场路36号,113.3441,23.1237
广百百货,北京路295号,113.2684,23.1234
万国奥特莱斯,前进路40号,113.2733,23.1020
GOGO新天地,大学城中大东一路与贝岗村大街交叉口东北角,113.3919,23.0622
江燕路·万科里,江燕路99号,113.2793,23.0824
丽影广场,新港中路352号,113.3202,23.0958
中华广场,中山三路33号,113.2831,23.1256
亚运城广场,石楼镇康体路43号,113.4767,22.9419
漫广场,中山大道中1242号,113.4249,23.1125
奥园城市天地,汉溪路163号,113.3337,22.9924
天娱广场,天河路621-625号,113.3400,23.1357
万达广场,双山大道3号,113.5324,22.7946
广州融创茂广场,平步大道与凤凰北路交叉口,113.2331,23.4253
高德置地冬广场,珠江东路11号,113.3270,23.1200
万达广场,增城大道69号,113.8154,23.2760
白云汇广场,黄石东路88号,113.2691,23.2027
荔胜广百广场,花地大道中66号,113.2329,23.0786
嘉裕太阳城广场,广州大道北1811号,113.3268,23.1875
尚品天河,石牌西路1-7号,113.3381,23.1333
五月花商业广场,中山五路68号,113.2668,23.1259
时尚天河店,天河路299号时尚天河商业广场B2层,113.3252,23.1340
海印又一城,番禺大道北383号,113.3492,22.9986
广百百货,天河路200号,113.3211,23.1331
万胜广场,新港东路1236号,113.3828,23.0972
文立方,二沙岛晴波路9号,113.3022,23.1079
佳兆业广场,体育西路191号,113.3209,23.1403
西城都荟,黄沙大道8号,113.2402,23.1100
保利时光汇·克洛维,华强路9号,113.3198,23.1264
安华汇,白云大道北756号,113.2960,23.2169
六元素·体验天地,新港东路1088号,113.3725,23.0964
钻汇广场,富华西路2号,113.3626,22.9478
新塘万达广场,新塘镇章陂工业大道西侧,113.6174,23.1522
中信广场,天河北路233号,113.3248,23.1421
天河又一城,体育西路54号南段,113.3221,23.1335
江南新地,江南西路46号,113.2709,23.0950
