mall_name,address,longitude,latitude 
万象汇,金城路927号,120.2688,30.1816
欧美中心商业街,西湖街道教工路18号,120.1373,30.2738
银泰百货,海达南路与下沙路交叉口西南角,120.3256,30.2989
银泰百货,延安路98号,120.1655,30.2436
龙湖杭州滨江天街,江南大道与江汉路交叉口,120.2048,30.2010
银泰百货,西湖文化广场18号,120.1630,30.2776
天阳D32时尚购物街区,小河路306号,120.1373,30.3148
星光国际广场,江南大道228号,120.2086,30.2082
千岛湖广场,新安南路2-58号,119.0523,29.6023
西湖天地,南山路147号,120.1600,30.2472
西溪银泰城,余杭塘路与弘德路交叉口东北角,120.0748,30.2930
龙湖杭州金沙天街,金沙大道560号金沙湖地铁站A出口,120.3272,30.3102
宝龙城,滨盛路3867号,120.1674,30.1878
恒隆广场,山阴路688号,120.2621,30.1781
旺角城新天地,彩虹大道顺发旺角底商,120.2653,30.1694
平安金融中心悦坊商场,民心路280号,120.2127,30.2513
印象城,五常大道1号,120.0505,30.2479
永旺梦乐城,古墩路1888号,120.0583,30.3606
银泰百货,景昙路18-26号,120.2052,30.2601
西田城购物中心,金家渡路8号,120.0948,30.3407
水晶城购物中心,上塘路458号,120.1518,30.3044
杭州大厦501城市广场,景昙路庆春广场对面,120.2036,30.2598
世茂缤谷,江南大道4756号,120.1481,30.1873
城西银泰城,丰潭路380号,120.1076,30.2995
万象城,富春路701号,120.2156,30.2517
国大城市广场,延安路609号,120.1625,30.2696
天虹,新塘路108号,120.2098,30.2647
地铁东城广场,九沙大道399号,120.2781,30.3109
来福士,新业路228号,120.2131,30.2487
皇后公园,武林路277号,120.1602,30.2651
大悦城,莫干山路与隐秀路交汇处,120.1297,30.3018
福雷德广场,文泽路99号,120.3471,30.3167
东站西子国际,环站东路火车东站东广场东200米,120.2178,30.2966
金地广场,古墩路1333号,120.0820,30.3398
EFC LIVE 欧美广场,杭州市余杭区景兴路896号,120.0030,30.2813
宝龙广场,2号大街与25号大街交叉口东北角,120.3853,30.3117
工联CC,延安路292号,120.1646,30.2547
杭州大厦中央商城,环城北路与展览西路交口西南角,120.1614,30.2724
华元欢乐城,迎宾路和汀城街交叉口西北角,120.3011,30.3958
银泰城,东新路822号,120.1759,30.3273
银隆百货,市心中路288号,120.2681,30.1708
星耀城,江陵路1916号,120.2163,30.2114
远洋乐堤港,丽水路58号,120.1439,30.3055
下沙奥特莱斯,启潮路199号,120.3836,30.3444
余之城生活广场,迎宾路与临东路交界处东南角,120.3044,30.3944
新天地购物中心,长浜路与新天地街交口,120.1806,30.3225
亲橙里,常二路阿里巴巴西溪园区,120.0300,30.2817
东方茂,金桥北路1号,119.9329,30.0485
星光大道商场,星光大道步行街4号楼,120.2087,30.2085
临平银泰城,南苑街道世纪大道西1号临平银泰城,120.3031,30.4053
坤和万科·黄龙万科中心,学院路77号,120.1294,30.2761
嘉里中心,延安路385号,120.1632,30.2600
银泰百货,萍水街丰潭路380号,120.1087,30.3004
杭州湖滨银泰in77,延安路258号,120.1640,30.2536
银泰百货,延安路530号,120.1641,30.2688
杭州大厦购物城,环城北路47号武林广场21号,120.1612,30.2728
和平广场,下绍兴路158号,120.1763,30.2903
中赢国际,滨和路998号,120.2109,30.1997
华元西溪欢乐城,五常大道与华丰路口,120.0134,30.2410
复地壹中心活力广场,花园岗街,120.1103,30.3174
运河七区,小河路500号,120.1374,30.3262
解百新元华,延安路179号,120.1632,30.2496
物美购物中心,文一路298号,120.1227,30.2880
万宝城,荷禹路与北沙西路交叉口西南角,120.2842,30.4325
新天地G193广场,长浜路与新北街交叉口东南角,120.1798,30.3252
衣之家百货,庆春路227号,120.1616,30.2574
滨河商业广场,建国北路471号滨河商业广场,120.1801,30.2683
汇和城,文一路296号,120.1233,30.2881
萧山宝龙广场,建设一路与金鸡路交叉口,120.2533,30.1952
星光百货,泰安路9号,120.2105,30.2068
汇金星座标,金城路168号,120.2457,30.1818
江南时代广场,余杭街道凤新路与荆余路交叉口,119.9500,30.2596
印象城,古墩路588号,120.0992,30.2939
首创奥特莱斯,江滨东大道889号,120.0291,30.0781
金街美地,云河路与洙泗路交叉口西北角,120.0786,30.1475
解百购物广场,解放路251号,120.1648,30.2497
衣之家百货,天城路86号,120.2002,30.2873
创意设计中心,艮山西路102号,120.2057,30.2775
银泰百货,东湖街道北大街132号,120.3034,30.4228
303生活广场,三墩镇厚仁路313号,120.0784,30.3327
上亿广场,崇贤街道崇杭路与塘康路交汇处,120.1635,30.3821
砂之船奥特莱斯,解放东路8号,120.2149,30.2445
运河上街购物中心,金华路80号,120.1436,30.3188
华荣城,博卡路16号华荣城缤果广场区1层,120.2847,30.3446
盒座社,浦沿路773号,120.1468,30.1728
利星名品广场,平海路124号,120.1626,30.2545
万达广场,杭行路666号,120.1191,30.3300
天阳亲子广场,婺江路217号,120.1967,30.2307
LSE城市生活广场,金城路333号,120.2519,30.1827
和达城,2号大街与5号交叉口西南角,120.3477,30.3089
金沙印象城,金沙大道,120.3362,30.3085
西城广场购物中心,文二西路551号,120.0947,30.2806
衣之家城市广场,机场路119号,120.1923,30.2852
西溪天堂栖悦城·文旅奥莱,紫金港路21号,120.0894,30.2655
西湖D11,武林路163号武林夜市旁,120.1609,30.2622
赛银国际,溪望路与高教路交叉口南100米,120.0218,30.2753
黄龙世纪广场,杭大路1号,120.1404,30.2681
万华广场,钱王街855号,119.7058,30.2223
星光城,文三路500号,120.1212,30.2771
中南乐游城,长河路与江南大道交汇处西南角,120.1920,30.1947
