mall_name,address,longitude,latitude 
柏联广场,三市街6号,102.7107,25.0353
云纺东南亚商城,环城南路668号,102.7088,25.0194
万达广场,前兴路688号,102.7100,25.0075
顺城购物中心,东风西路11号,102.7075,25.0356
金鹰B座,青年路威远街168号金鹰购物广场B座2楼,102.7142,25.0403
南亚风情第壹城,滇池路569号南亚风情第一城阳光酒店旁,102.6835,25.0096
同德昆明广场购物中心,北京路928号,102.7237,25.0685
七彩云南第一城,呈贡区朝云街,102.8247,24.8786
大悦城,环城南路与南坝路交叉口西行200米路南,102.7136,25.0227
王府井百货,沿河路7号,102.7068,25.0355
公园1903,海宏路与前卫西路交叉口北侧,102.6763,24.9855
金鹰购物中心,青年路418号,102.7154,25.0394
正义坊购物中心,正义路100号,102.7096,25.0404
云纺国际商厦购物中心,环城南路668号内,102.7094,25.0212
万达百货,前兴路688号,102.7097,25.0076
百大新天地,东风西路2号,102.7097,25.0367
世纪金源购物中心,金源大道一号,102.7623,24.9774
爱琴海购物公园,广福路488号,102.6850,24.9924
欣都龙城VCpark购物中心,北京路与北辰大道交叉口,102.7330,25.0799
大都摩天购物中心,彩云北路与珥季路交叉口东北200米,102.7687,24.9708
美辰百货,人民中路富春街98号,102.7020,25.0432
版筑后街,虹山东路9号版筑翠园小区,102.6920,25.0540
百利家购物中心,中营段205号,102.7402,24.9460
西城COHO购物中心,滇缅大道2553号,102.6545,25.0639
新螺蛳湾商贸城,彩云北路5151号,102.7761,24.9328
新西南,人民中路21号,102.7148,25.0421
玫瑰天街,广福路426号,102.6840,24.9929
金格奥特莱斯购物中心,前卫西路19号,102.6765,24.9858
悦云天地购物公园,人民西路,102.6820,25.0440
百盛,三市街6号柏联广场1层,102.7108,25.0352
砂之船,太平新城奥特莱斯大道181号砂之船(昆明)奥莱A馆1楼,102.5754,24.9185
南亚new mall,滇池路569号,102.6858,25.0099
昆明五华吾悦广场,王筇路,102.6580,25.0900
七彩ME TOWN购物中心,白塔路399号,102.7266,25.0484
嘉誉商业广场,昆阳中和路73号住宿区,102.5963,24.6647
奥特莱斯购物中心,东寺街,102.7094,25.0292
昆百大新都会,春融街东段2956号,102.8456,24.8912
伊皇购物中心,百花西路22号,102.4858,24.9215
星天地商业广场,星休路新亚洲体育城,102.7655,24.9474
昆明百货,三市街与顺城街交叉口西50米,102.7094,25.0358
北大门商业街,金忠巷与金洲北路交叉口西100米,102.7184,25.0617
金方购物广场,金方超市斜对面清远街十味饺子馆旁边童装店童真阁,103.1430,24.9168
康盛商贸城,广福路6829号,102.7647,24.9417
海伦城市广场,金源大道3188号,102.7423,24.9669
学府协信天地星光180,建设路180号,102.6924,25.0592
时尚女人广场,人民中路21号新西南旁边,102.7154,25.0425
百盛,人民中路17号,102.7148,25.0418
金泰国际广场,滇缅大道黄土坡公交车场对面,102.6693,25.0640
明通商场,明通路,102.7181,25.0228
段家商场,大板桥G320,102.8775,25.0458
中铁云时代广场,王筇路与科普路交叉口南150米,102.6605,25.0870
置信银河广场,谊康北路与春融街交汇处,102.8225,24.8839
嘉利达购物中心,船房村1742号,102.6853,25.0178
和谐商城,红兴路与红康路交叉口东侧,102.7299,25.1032
金碧辉煌大厦,金碧路与正义路交叉口东北角,102.7099,25.0393
滨江俊发广场,白云路跟万华路交叉口滨江俊园,102.7171,25.0669
中豪.螺蛳湾国际商贸城,新昆洛路宏仁片区、彩云北路5151号,102.7761,24.9328
滨河购物广场,黄龙街滨河苑旁,103.0464,25.3388
金格百货,白塔路131号,102.7263,25.0361
实力花千坊,春融街779号,102.8245,24.8808
双龙商场,环城南路985号,102.7190,25.0236
瑞鼎城购物公园,新春巷与白云路交叉口东150米,102.7399,25.0553
新世界百货,青年路432号,102.7158,25.0374
中央商业广场,滇池路569号,102.6841,25.0094
嘉年华购物公园,霖雨路288号,102.7356,25.0951
宝奢购物中心,金瓦路8188号,102.7897,25.0540
世纪广场,南屏街88号,102.7124,25.0375
金色时代广场,安宁中学斜对面,102.4653,24.9125
实力花千集,教兴路与教场东路交叉口西200米,102.7084,25.0751
愿景城市广场,人民路32号,103.1469,24.9199
新螺狮湾国际商贸城,彩云北路5151号,102.7761,24.9328
百汇商业广场,昆师路1号,102.6970,25.0466
朗悦湾商场,德润朗悦湾,102.7418,25.1190
羊甫商业中心,云大西路113号,102.7880,24.9770
现代广场,长青路94号,102.7159,25.0684
人民路壹号广场,西园北路375号,102.6798,25.0460
七彩俊购物中心,人民东路与环城东路交叉口北100米,102.7323,25.0447
嘉悦购物公园,假日城市小区营销中心1层,102.6572,25.0630
喜家乐购物中心,广福路宏仁村康盛19号,102.7659,24.9393
汇都国际,白塔路131号,102.7271,25.0360
世纪城,世纪金源购物中心B1层,102.7611,24.9773
益龙万象城,白龙路与环城东路交叉口,102.7318,25.0470
景煌百货商场,北京路162号,102.7205,25.0238
山文校园淘宝城,大学路1号附近,102.7931,24.9773
