mall_name,address,longitude,latitude 
雨花客厅EPARK,软件大道109号,118.7639,31.9788
金鹰世界,应天大街888号,118.7403,32.0232
金鹰天地广场,双龙大道1688号,118.8205,31.9328
九霄梦天地,学衡路1号,118.9168,32.0923
慕斯荟购物中心,浦珠南路26号,118.6464,32.0740
苏宁广场,江东北路88号,118.7409,32.0445
万谷·慧生活,华电路1号,118.8135,32.1018
万达广场,竹山路68号,118.8438,31.9514
环亚凯瑟琳广场,北京东路1号,118.7889,32.0594
金鹰湖滨天地,学海路1号,118.9265,32.1025
吾悦广场,湖北路51号狮子桥步行街对面,118.7765,32.0675
金鹰国际购物中心,汉中路89号,118.7807,32.0414
花园城购物中心,中山门大街699号,118.8944,32.0509
文鼎广场,格致路99号体育馆对面,118.8995,31.9140
紫荆广场·花漫里,雨花东路158号,118.7938,31.9923
紫峰购物广场,中山北路6号,118.7828,32.0607
招商花园城,栖霞大道与燕城大道交汇处,118.8339,32.1219
仁恒江湾新天地,乐山路209号,118.7099,31.9926
南京国际金融中心,汉中路1号南京国际金融中心负一楼,118.7831,32.0410
21世纪太阳城,双龙大道1539号,118.8218,31.9274
金鹰特惠中心,汉中门大街1号,118.7637,32.0408
中央商场,中山南路79号,118.7853,32.0388
虹悦城,应天大街619号,118.7659,32.0094
华采天地,江东中路258号,118.7219,31.9977
荔枝广场,北京东路4号,118.7855,32.0577
德基广场,中山路18号,118.7848,32.0441
大洋百货,大桥北路48号,118.7240,32.1388
苏宁生活广场,淮海路68号,118.7871,32.0371
新世纪广场,中山东路288号,118.7953,32.0405
大观天地MALL,热河路静海寺旁,118.7435,32.0927
万达百货,竹山路68号,118.8438,31.9512
万达百货,江东中路98号,118.7375,32.0325
百联奥特莱斯,汤山街道圣汤大道99号,119.0527,32.0282
金奥国际购物中心,江东中路329号,118.7254,31.9987
友谊广场,汉中路27号,118.7819,32.0415
森林摩尔商业街区,中山门大街301号,118.8666,32.0385
欢乐港,棠城广场与龙津路交叉口西北150米,118.8365,32.3360
美利购物广场,葛关路818号,118.7496,32.2428
环宇城,清凉门大街1号,118.7524,32.0450
金鹰天地广场,双龙大道1680号,118.8209,31.9318
澳林广场,浦珠北路126号,118.6991,32.1126
金茂汇广场,中央路201号,118.7833,32.0726
砂之船奥特莱斯,秣周东路18号,118.8284,31.8668
南京商厦,龙蟠路1号,118.7849,32.0909
水平方,建康路3号,118.7872,32.0235
金奥·缤润汇,楠溪江东街83号,118.7299,31.9934
新城市广场,草场门大街99号,118.7413,32.0558
景枫KINGMO,双龙大道1698号,118.8209,31.9297
印象汇,大桥北路58号,118.7222,32.1406
金鹰国际购物中心,珠江路1号,118.7848,32.0511
万达茂,仙林大道181号,118.9877,32.1216
金盛田广场,龙华路8号,118.6396,32.0694
先锋奥特莱斯商场,中央路417号,118.7835,32.0877
新百,中山南路1号,118.7849,32.0406
艾尚天地,中山路100号,118.7849,32.0466
金轮新天地,汉中路8号,118.7800,32.0426
游坊城,友谊街36号,118.7196,31.9662
苏宁环球购物中心,湖南路18号,118.7779,32.0693
House of Fraser 东方福来德,中山南路2号,118.7836,32.0403
新世界百货,珠江路88号新世界百货,118.7883,32.0495
鹏欣水游城,建康路1号,118.7857,32.0235
绿地缤纷广场,中央北路与幕府东路交汇处,118.7791,32.1114
弘阳广场,大桥北路48号,118.7262,32.1371
万达广场,江东中路98号,118.7357,32.0328
大洋百货,中山南路122号,118.7834,32.0391
茂业天地,建康路2号,118.7855,32.0224
曙光天地,来燕路1号,118.7888,32.0174
际华国际广场,大光路142号,118.8040,32.0267
万尚城,双龙大道1355号,118.8222,31.9425
海乐城,望京街与交通西路交叉口,119.0268,31.6569
羲和商业广场,薛家巷8号羲和销售中心,118.7856,32.0544
宇业天赋广场,麒麟街道东麒路与悦民路交汇处,118.9273,32.0495
托乐嘉乐尚天地,将军大道9号,118.7852,31.9432
南方时代广场,润发路9号,118.8791,31.9981
大成名店,文苑路3号,118.9221,32.1017
瞻园奥特莱斯商场,瞻园路9号,118.7870,32.0191
弘阳生活➕,双龙大道1222号,118.8205,31.9440
中央商场,江东中路237号,118.7319,32.0073
曼度广场,碑亭巷杨将军巷9号,118.7940,32.0455
花生唐商业,板桥新城新湖大道花生唐,118.6606,31.9076
印象汇,洪武路88号,118.7868,32.0379
华润苏果购物中心,新安江街78号苏瑞沁园村,118.7333,32.0024
淘淘巷,新街口淮海路,118.7880,32.0374
中央城市奥莱,中山北路86号,118.7750,32.0678
保乐荟,双龙大道与兰台街交汇处,118.8293,31.9023
天悦城,百润路9号地铁天润城站1号出口旁边,118.7334,32.1514
同曦假日百货,胜太路8号,118.8224,31.9437
东城汇,仙林大学城文苑路8号,118.9082,32.0973
雨花世茂52+,宁双路与安德门大街交叉口西南150米,118.7625,31.9712
乐基广场,云锦路169号,118.7415,32.0248
常发广场,红山路88号,118.8107,32.0857
新城市·虹桥中心,中山北路281号虹桥新城市广场,118.7625,32.0768
楚翘城,安德门大街61号,118.7644,31.9709
招商花园里,建康路地铁三号线夫子庙站3号口,118.7912,32.0238
环亚广场,石鼓路33号,118.7820,32.0386
华润苏果清凉门购物中心,清凉门大街18号,118.7515,32.0463
湖滨天地,苏源大道清华启迪科技园 修,118.8107,31.9127
玉桥商业广场,建宁路8号,118.7811,32.0912
万达广场,幸庄路与秦淮大道交叉口,119.0475,31.6266
老浦口1914商业街,江山路威尼斯水城一街区对面,118.7452,32.1368
