mall_name,address,longitude,latitude 
恒一广场,丽园南路606号,121.5145,29.8510
环球银泰城,天童南路1088号,121.5460,29.7970
来福士,大庆南路99号,121.5574,29.8825
莱迪广场,药行街169号颐高莱迪时尚广场1-3楼,121.5516,29.8671
集盒广场,徐戎路39号,121.5737,29.8734
博地影秀城,人民北路与泰山西路交汇处,121.8099,29.9008
酷购商城,药行街152号天一广场6号门,121.5525,29.8685
银泰百货,中山东路238号,121.5580,29.8699
国际购物中心,中山东路166号,121.5541,29.8708
银泰百货,浒山街道青少年宫南路99号,121.2487,30.1701
银泰百货,中山东路188号,121.5555,29.8708
五彩城,金型路519号,121.1801,30.0667
爱琴海购物公园,北三环东路1888号,121.2761,30.1949
1844·和义,和义路100号,121.5534,29.8763
银泰城,中河路399号,121.8313,29.8958
世纪金源购物中心,金源大道19号,121.2307,30.3284
万达广场,四明西路855号,121.1332,30.0280
慈溪新城吾悦广场,南三环路与新城大道交汇处西北角,121.2595,30.1415
吾悦广场,望海南路与永乐路交汇处,121.6006,29.9490
杉井奥特莱斯广场,秋实路555号,121.4502,29.8582
和义大道购物中心,和义路66号,121.5554,29.8737
明州里,四明西路7号万达对面,121.5425,29.8257
月湖·盛园,镇明路与仓桥街交叉口,121.5463,29.8632
1902万科广场,庄市大道1088号,121.6242,29.9282
天一广场,中山东路188号,121.5538,29.8696
宁波东银泰城,中山东路2266号,121.6207,29.8542
高鑫广场,新星路111号,121.5258,29.8955
宁波文化广场,文化广场商圈,121.6173,29.8587
世纪东方广场,中山东路1083号,121.5948,29.8614
万达广场,四明中路999号,121.5452,29.8263
印象城,钱湖北路288号,121.5667,29.8333
东鼓道,中山东路地铁鼓楼站至东门口站,121.5530,29.8719
海港城,天童南路与北大路交口,121.5448,29.7727
新世界百货,黄山路857号富邦广场新世界百货,121.8445,29.8930
银泰百货,中山东路1083号世纪东方广场F1,121.5961,29.8612
新华联商厦,中山东路181号,121.5557,29.8717
宏泰广场,宁穿路1222号,121.6128,29.8603
港隆广场,沧海路1号,121.6048,29.8857
万达广场,江北大道188号,121.5305,29.9159
万达广场,中山东路与斗门路交汇处,121.4227,29.6652
天伦商业广场,天福街家乐福南侧,121.5856,29.8746
亚细亚75mall,药行街169号5-7楼,121.5519,29.8672
利时城市奥特莱斯,四明中路688号,121.5535,29.8278
东岸里,规划二路与江东北路交叉口旁,121.5720,29.8835
西子国际广场,桃源中路168号,121.4418,29.3034
钱湖天地,钱湖北路399号,121.5692,29.8311
江北恒一商业广场,长兴东路392号,121.5038,29.9305
银泰百货,四明中路909号,121.5477,29.8264
宁波第二百货商店,中山东路220号,121.5572,29.8704
银泰百货,天童南路1008号环球银泰城1层底商,121.5453,29.7965
金·东岸,星海北路与光华路交叉口,121.6287,29.8765
环球航运广场,宁东路269号,121.6116,29.8662
涌金广场,新华路与丹南路交叉口旁,121.8879,29.4624
三江购物,仓基街76号,121.5475,29.8610
三江购物曙光商场,曙光路104号,121.5713,29.8767
保利悠悦汇,舒波路355号,121.6128,29.8498
银泰城,南山路150号,121.4124,29.6636
世贸中心,桃源中路161号,121.4403,29.3064
巴丽新地商业广场,钱湖北路553号,121.5690,29.8297
星街坊广场,新马路288弄,121.5511,29.8917
现代商城,江东区兴宁路226号,121.5746,29.8473
金沙码头奥莱公园,扬帆路亿嘉商业广场,121.6551,29.8934
聚亿商业中心,宁南北路367号,121.5453,29.8415
银亿时代广场,冷静街8号,121.5490,29.8636
嘉恒广场,中山东路1888号,121.6160,29.8555
万达百货,江北大道188号宁波江北万达广场内,121.5305,29.9159
银泰城,新建北路181号,121.1605,30.0735
保利MALL,三北西大街与西三环交界处,121.2093,30.1793
洛兹商业广场,石碶镇雅戈尔大道,121.5079,29.8276
亿彩购物中心,药行街42号,121.5566,29.8677
镇海银泰城,镇海大道与望海南路交汇处西北角,121.6005,29.9678
博浪海港城,丹峰路与巨鹰路交叉口东150米,121.9005,29.4775
银亿四明广场,舜水南路150号,121.1555,30.0402
滨江商业广场,桃源街420号,121.5550,29.8489
申菱广场,石浦玉泉路金山路277号,121.9344,29.1975
富邦世纪广场,黄山路857号,121.8439,29.8938
博洋智谷广场,慈百路276号,121.2322,30.1687
铂澜大象城,联丰中路235号,121.5044,29.8692
恒茂商业广场,丽园北路860号,121.5204,29.8913
新江厦,集仕港镇商贸路利时购物广场一层,121.4441,29.8655
金钟广场海鲜排档,金钟路金钟广场,121.4285,29.6654
太平洋国际购物中心,中山中路1号太平洋国购,121.4278,29.2978
石浦海峡广场,日月潭旁,121.9475,29.2087
嘉润国际广场,观海卫路580号,121.3987,30.1675
横河商贸城,龙泉西路,121.2375,30.1289
方圆中心广场,永达路1462号,121.5925,29.8440
月湖银座,南站东路16号,121.5396,29.8620
新都汇,新市路36-41号,121.2444,30.1705
民和扬帆广场,扬帆路与院士路交叉口东北100米,121.6292,29.8804
嘉悦购物广场,周巷镇兴业北路485号,121.1344,30.1818
太平洋百货,人民大道9号宁海大厦,121.4304,29.2966
世茂繁花里,湖西路与环城北路交叉口,121.5610,29.8982
慈溪财富中心,金一路与新城大道南路交汇处东北角,121.2643,30.1647
江南一品广场,杨木碶路329弄29号,121.6134,29.8983
镇海利时广场,镇骆西路1号,121.5872,29.9857
宁海大厦商城,人民大道15号,121.4304,29.2965
浙海商业广场,联丰中路1038号,121.4827,29.8701
银泰城,中山东路188号,121.5530,29.8690
华联金泰百货,南滨江路168号华联商厦F1,121.1565,30.0460
银泰西选杉,秋实路555号奥特莱斯广场11300铺位,121.4511,29.8577
