mall_name,address,longitude,latitude 
万达广场,广富林路658弄,121.2430,31.0577
湖滨道购物中心,湖滨路150号,121.4790,31.2210
LCM置汇旭辉广场,张杨路2389号,121.5555,31.2421
虹桥天地,申长路688号,121.3153,31.1925
上海爱琴海购物公园,吴中路1588号,121.3730,31.1745
长风大悦城,大渡河路196号,121.3953,31.2228
世博源,上南路168号,121.4927,31.1828
浦江城市生活广场,江月路1850号,121.5051,31.0834
新天地时尚,马当路245号,121.4752,31.2174
上海万象城,吴中路1599号,121.3692,31.1702
中海环宇荟,黄陂南路838弄中海环宇荟,121.4768,31.2117
太平洋森活天地,淞沪路199号,121.5128,31.3068
新世界大丸百货,南京东路228号,121.4855,31.2383
上海来福士广场,西藏中路268号,121.4766,31.2325
港汇恒隆广场,虹桥路1号,121.4373,31.1944
金桥国际商业广场,金桥路和张杨路交叉口旁,121.5795,31.2557
龙湖虹桥天街,申长路869号,121.3133,31.1922
上海新天地南北里,太仓路181弄,121.4752,31.2192
百联嘉定购物中心,仓场东路384号,121.2783,31.3865
开元地中海商业广场,新松江路925弄,121.2196,31.0380
嘉定大融城,宝安公路3386号,121.2797,31.3304
兴业太古汇,南京西路789号,121.4631,31.2288
龙之梦购物中心,西江湾路388号,121.4772,31.2713
世茂商都,南京西路258号,121.4708,31.2324
环贸iapm商场,淮海中路999号,121.4581,31.2154
上海商城,南京西路1376号,121.4519,31.2267
徐汇日月光,漕宝路33号,121.4326,31.1690
美罗城,肇嘉浜路1111号,121.4399,31.1928
奕欧来奥特莱斯,申迪东路88号,121.6795,31.1405
七宝万科广场,漕宝路3366号,121.3504,31.1543
尚嘉中心,仙霞路99号,121.4071,31.2057
张园·丰盛里,茂名北路与南京西路交叉口,121.4592,31.2279
东鼎购物中心,新松江路1255弄1-10号,121.2114,31.0377
长宁来福士,长宁路1123号,121.4145,31.2165
三林印象城,永泰路1058弄1-26号,121.5259,31.1428
上海环球金融中心,世纪大道100号,121.5075,31.2343
创智天地,淞沪路234号-303号,121.5116,31.3060
芮欧百货,南京西路1601号,121.4475,31.2232
上海高岛屋百货,虹桥路1438号,121.4031,31.1974
老外街商业中心,虹梅路3338弄,121.3877,31.1913
百联又一城购物中心,淞沪路8号,121.5156,31.3014
金茂时尚生活中心,世纪大道88号金茂大厦裙楼内,121.5055,31.2352
上海世茂广场,南京东路829号,121.4755,31.2346
万达广场,淞沪路77号,121.5139,31.3002
晶品CrystalGalleria,愚园路68号,121.4464,31.2255
上海陆家嘴中心 L+MALL,浦东南路899号,121.5153,31.2313
长泰广场,金科路2889号,121.6017,31.2059
阳光天地,高科东路777弄,121.6564,31.2144
洛克·外滩源 ROCKBUND,虎丘路146号光陆大楼,121.4876,31.2434
中庚·漫游城,闵虹路与万源路交叉口,121.3986,31.1311
上海国际时尚中心,杨树浦路2866号,121.5584,31.2705
百联川沙购物中心,川沙新镇川沙路5398号,121.6981,31.1853
合生汇,翔殷路1099号,121.5179,31.2998
静安大悦城,西藏北路166号-198号,121.4721,31.2440
LuOne凯德晶萃广场,徐家汇路268号,121.4772,31.2106
正大广场,陆家嘴西路168号,121.4989,31.2367
环球港,中山北路3300号,121.4125,31.2333
佛罗伦萨小镇上海名品奥特莱斯,卓耀路58弄,121.7641,31.1964
第一百货商业中心,南京东路800-830号,121.4747,31.2352
幸福里,番禺路381号,121.4301,31.2043
瑞虹天地,瑞虹路188号,121.4987,31.2644
158坊,巨鹿路158号,121.4665,31.2231
益丰·外滩源,北京东路99号,121.4888,31.2406
BFC外滩金融中心,中山东二路600号,121.4983,31.2260
新天地广场,淮海中路333号,121.4742,31.2227
建业里,建国西路480号建业里1层,121.4510,31.2031
百盛优客城市广场,天山路789-889号,121.4034,31.2106
百联世纪购物中心,世纪大道1217号,121.5273,31.2301
尚悦湾,银城路66号,121.5106,31.2417
金虹桥国际中心,茅台路179号,121.4026,31.2090
国金中心商场,世纪大道8号,121.5023,31.2362
虹桥南丰城,遵义路100号,121.4079,31.2074
疁城新天地,塔城路295号,121.2554,31.3824
久光百货,南京西路1618号,121.4462,31.2238
恒隆广场,南京西路1266号,121.4538,31.2276
世纪汇广场,世纪大道1192号,121.5272,31.2274
上海K11购物艺术中心,淮海中路300号,121.4735,31.2234
东方渔人码头,杨树浦路1088号,121.5315,31.2528
SOHO复兴广场,复兴中路与马当路交叉口西南角,121.4746,31.2151
大上海时代广场,淮海中路99号,121.4787,31.2245
