mall_name,address,longitude,latitude 
新玛特,黄海路45号,123.3045,41.7938
大悦城c座,小什字街,123.4694,41.8029
鹿特丹万科生活广场,长白南路50号,123.3971,41.7287
商业城,中街路212号,123.4621,41.8020
新玛特,小东路1号新玛特F5,123.4650,41.8021
积家购物中心,道义南大街33号,123.4009,41.9212
韩百商场,西塔街方迪大厦C座斜对面,123.4106,41.8068
盛京豫龙城,北中街路116号,123.4558,41.8038
印象城,中华路15号,123.3988,41.7923
万象城,青年大街288号沈阳华润中心万象城,123.4346,41.7765
沈阳春天,中街168号,123.4576,41.8020
花园城,浑南四路与营盘北街交叉口东北角,123.4547,41.7444
万达广场,北一中路1号,123.3808,41.8136
大悦城,小东路6号,123.4671,41.8024
沈阳天地,北陵大街17号,123.4311,41.8256
嘉里城,青年大街123号,123.4363,41.7758
沈阳K11购物艺术中心,博览路2甲1号,123.4405,41.7502
万达百货,营盘西街17号,123.4599,41.7356
万达广场,太原南街2号,123.3987,41.7913
兴隆大奥莱,营盘北街5号,123.4574,41.7419
市府恒隆广场,青年大街1号,123.4334,41.8009
星摩尔购物中心,北二中路6号,123.3758,41.8083
皇城恒隆广场,中街路128号,123.4553,41.8021
一方广场,文化路81号,123.4369,41.7704
万达广场,兴华南街58号,123.3593,41.7810
佳兆业广场,青年大街173号,123.4366,41.7658
中兴商业大厦,太原街86号,123.4005,41.7935
玖伍文化城,太原北街95号玖伍文化城2层,123.4020,41.7929
万象汇,建设东路158号,123.3730,41.7953
沈北华强广场Living Mall,道义南大街8号,123.4077,41.9081
卓展购物中心,北京街7-1号,123.4340,41.8088
五爱市场服装城东7门,小南街103号,123.4537,41.7868
新玛特,兴华南街37号新玛特(铁西店)B1层,123.3669,41.7883
尚柏奥特莱斯,蒲河路98号,123.4627,41.9550
碧桂园银河商业广场,汪河路99号,123.3456,41.7510
龙之梦购物中心,滂江街22号,123.4882,41.8073
百盛,中华路21号百盛太原街店5层,123.4003,41.7918
乐天百货,北陵大街9-4号,123.4294,41.8225
盾安新一城,中街路268号,123.4640,41.8032
小商品大世界,滂江街22号,123.4869,41.8080
兴隆大家庭,中街路115号,123.4551,41.8002
FTC金融中心购物广场,哈尔滨路168号,123.4353,41.8117
龙之梦大都汇MALL,建设西路18-17号第一城东区对面,123.3456,41.8039
益田假日世界,中街路268号,123.4636,41.8016
友谊购物中心,兴顺商业街50号,123.3607,41.7963
铁西百货,兴华南街16号铁西百货,123.3687,41.7919
国瑞购物中心,东北大马路392号,123.5175,41.8363
乐购生活购物中心,浑南新区金卡路16号,123.4656,41.7370
茂业奥特莱斯,沈辽东路79号,123.3611,41.7801
欧亚联营,中华路63号,123.4056,41.7894
中信泰富又一城,塔湾街11号,123.3758,41.8276
百联购物中心,青年大街55号,123.4333,41.7938
大悦城b馆,大什字街197号,123.4685,41.8035
兴隆大天地,沈辽西路27号兴隆大天地购物中心1层,123.3329,41.7781
维华商业广场,沈辽中路5号,123.3576,41.7801
金谷购物中心,北二西路52甲号,123.3295,41.8243
维华商业广场,南京南街201号,123.4027,41.7458
温州城,民族南街68号甲1,123.3956,41.7906
潮汇店,中华路与民族北街交叉口北50米,123.3984,41.7934
华府天地购物中心,哈尔滨路118号,123.4326,41.8132
萃兮优客城市奥莱,市府大路188号,123.4226,41.8053
HK01流行馆,中街路205号HK01流行馆5层,123.4614,41.8012
华润置地广场,兴华北街49号,123.3744,41.7976
万象九宜城,浑南西路7-8号,123.4522,41.7376
新华天玺广场,金廊商圈北京街,123.4339,41.8077
千盛百货购物中心,长江街99号,123.4137,41.8261
荣信财富广场,沈辽西路116号,123.2485,41.7434
中兴方城,太原北街86号中兴商业大厦8楼,123.4002,41.7939
福瑞佳购物广场,道义南大街正义四路3号,123.4024,41.9193
大悦城,小东路9号,123.4671,41.8026
兴隆生活广场,赤山路38号,123.3985,41.8722
恒大都市广场,怒江北街230号,123.3966,41.8811
浑河天地,长白二街3-2号,123.3895,41.7502
西都商业城,新华街小六路30号,123.3678,41.7918
华邑世纪城,千山西路58号,123.3869,41.8784
碧塘休闲购物广场,辽宁沈阳长江街15号碧塘公园西,123.4143,41.8206
华苑商场,海棠街39号,123.3463,41.6623
北约客广场,同泽北街35-1号,123.4048,41.7922
万达广场B组团,南十二路与景星南街交叉口东南100米,123.3554,41.7831
新加坡广场,民族南街20号,123.3970,41.7920
新生活广场,长青街121号,123.4896,41.7697
东站商场,东站街东北大马路240号,123.4979,41.8272
地一大道,长江街15号碧塘公园,123.4133,41.8208
古城子镇综合市场,东湖街道古城乙433号,123.5810,41.7433
林韵商场,观泉路,123.5157,41.8407
三隆商场,沈辽路232号,123.3030,41.7627
茂业百货,青年大街185号,123.4362,41.7646
五爱国际商贸城-城北1门,热闹路65号,123.4513,41.7874
兴隆大家庭,东陵西路201号,123.5090,41.8133
唐轩城市广场,道义南大街5号,123.4051,41.9164
五爱市场服装城西4门,热闹路77号,123.4522,41.7866
荣业·中央广场,新区路北100米,122.8454,41.9957
西窑市场,鸭绿江街68号,123.4567,41.8489
上亿广场,沈营大街587号,123.4228,41.6902
阳光百货,友好街10号,123.4373,41.8144
环宇城购物中心,昆山西路75号,123.3759,41.8281
亿丰时代广场,金卡路16号,123.4642,41.7366
邻里广场,朗月街6甲号,123.4811,41.7447
tanni卓展购物中心店,北京街7-1号卓展购物中心4层,123.4336,41.8088
中国·食品城,南一马路与民族南街交叉口西南,123.3960,41.7906
