mall_name,address,longitude,latitude 
深业上城,皇岗路5001号,114.0702,22.5579
新沙天虹购物中心,新沙路与西环路交汇处,113.8002,22.7296
天安云谷,坂田街道坂雪岗大道以西，五和大道以东，雪岗北路以北,114.0680,22.6590
中心城广场,福华一路3号,114.0598,22.5358
海岸城,文心五路33号,113.9355,22.5172
AEON永旺,深南中路1095号新城市广场B1楼,114.0988,22.5395
太阳广场·太阳百货,东门解放路2001号二楼,114.1185,22.5453
卓悦INTOWN购物中心,金田路与福华三路交界处,114.0644,22.5325
平安金融中心,福华三路与益田路交汇处西北角,114.0557,22.5331
万科广场,龙翔街道中心城龙翔大道7188号,114.2436,22.7147
万象天地,深南大道9668号,113.9543,22.5411
京基百纳广场,沙井路180号,113.8061,22.7281
华强北九方购物中心,中航路1号,114.0831,22.5425
卓悦汇购物中心,中康路与梅林路交叉口东北角,114.0600,22.5693
皇庭广场,福华三路118号,114.0599,22.5332
深圳湾科技生态园,沙河西路1809号附近,113.9540,22.5282
深圳湾万象城,科苑南路2888号,113.9467,22.5163
诚品生活深圳,深南大道9668号万象天地NL133，NL150,113.9571,22.5426
茂业百货,东门中路2047号,114.1212,22.5471
花园城,南海大道1090号,113.9232,22.5022
1234space,建设路3018号,114.1161,22.5446
观澜湖新城MH MALL,观澜街道高尔夫大道8号,114.0759,22.7227
茂业百货,华强北路2009号,114.0862,22.5457
AEON永旺,太宁路百仕达花园第四期东郡商业楼地面1-2楼,114.1383,22.5690
欢乐海岸,白石路东8号,113.9892,22.5255
壹方天地,龙华人民路与建设路交叉口东侧,114.0273,22.6497
芮欧百货,宝安南路1881号万象城B1F-3F楼,114.1114,22.5396
壹方城购物中心,新湖路99号,113.8873,22.5531
KKMALL京基百纳空间,深南东路5016号,114.1069,22.5438
海上世界,望海路1128号,113.9165,22.4830
壹方天地B区,八一路与龙华人民路交叉口东南150米,114.0285,22.6464
龙华九方购物中心,人民路2020号,114.0213,22.6277
龙岗星河iCO,清林路愉园新苑对面,114.2374,22.7192
AEON,新洲路中城天邑花园商铺1-2楼,114.0480,22.5215
保利文化广场,文心五路海岸城对面,113.9376,22.5169
益田假日广场,深南大道9028号华侨城威尼斯酒店旁,113.9759,22.5371
万象汇,布吉街道翔鸽路2号,114.1324,22.5927
AEON,N5区创业一路1004号宏发大厦1-2楼,113.8883,22.5548
金光华广场,人民南路2028号,114.1201,22.5396
龙城万科里,龙城大道49号附近,114.2516,22.7174
KK ONE mall,滨河大道9289号,114.0270,22.5280
深圳万象城,宝安南路1881号,114.1111,22.5396
海雅缤纷城,建安一路99号,113.9061,22.5595
福田星河COCO Park,福华三路与民田路交叉口东北角,114.0539,22.5333
来福士广场,南海大道2163号,113.9258,22.5120
东海缤纷天地,深南大道7888号,114.0199,22.5363
购物公园,民田路127号,114.0538,22.5357
东门中心城,东门中路2088号东门中心城晒布地铁A2出口,114.1230,22.5491
星河WORLD·COCO Park,坂田五和大道与雅宝路交汇处,114.0592,22.6039
佐阾虹湾购物中心,北环大道6098号,114.0393,22.5607
云城万科里,仙茶路与打石二路交汇处东南角,113.9423,22.5743
马成时代广场,石厦北二街89号,114.0534,22.5210
星河COCO City,梅龙路2号,114.0467,22.6026
连城·新天地,福华路B1楼连城新天地商业街,114.0593,22.5352
南山京基百纳广场,白石路与深湾二路交汇处,113.9693,22.5311
中洲·π mall,创业二路89号,113.9063,22.5714
宝能·all city,中心路2233号,113.9391,22.5004
喜荟城,太宁路8号,114.1400,22.5681
龙岗星河COCO Park,爱南路666号,114.2282,22.6910
世纪汇购物中心,深南中路3018号,114.0836,22.5411
万科里街,龙翔大道8028号,114.2486,22.7172
壹海城,海山路与深盐路交叉口西行150米路南,114.2386,22.5546
AT MALL上塘荟,民塘路521号,114.0133,22.6373
缤果空间,民塘路深圳北站东广场1-2楼,114.0318,22.6117
茂业百货,文心二路与海德路交叉口西北角,113.9304,22.5191
汇港购物中心,蛇口工业三路1号,113.9160,22.4857
君尚3019,中心路3019号,113.9408,22.5068
iCity麟恒中心广场,龙岗大道横岗段2999号,114.1872,22.6375
布吉佳兆业广场,龙岗大道1号,114.1310,22.6064
益田假日世界,深汕路168号,114.3397,22.6931
上河坊购物乐园,金龙路5号,114.0473,22.5993
益田假日天地,福永街道怀德社区广深路福永段77号,113.8279,22.6684
天虹,中航路与振中路交汇处鼎诚国际大厦1-4层,114.0839,22.5432
天虹,吉华路与五和大道交汇处,114.0597,22.6340
佐阾香颂购物中心,民治大道佐阾香颂广场,114.0366,22.6304
天虹,福民路127号星河明居大厦1-5层,114.0530,22.5226
摩尔城购物中心,龙岗大道龙岗段6002-10号,114.2680,22.7224
侨城坊九方荟,侨香路4080号,113.9805,22.5521
宝能·all city,建设路28号宝能城市广场,114.2485,22.7247
华盛奥特莱斯购物广场,平湖华南城1号交易广场,114.1229,22.6781
大浪商业中心,华旺路与华繁路交叉口旁,113.9949,22.6746
8号仓,民康路1号,114.0552,22.6188
龙华星河iCO,东环二路8号,114.0372,22.6562
华润欢乐颂购物中心,南新路3030号,113.9200,22.5351
茂业百货,和平路3009号,114.1143,22.5442
时代城购物广场,海城路与宝源路交汇处,113.8684,22.5666
彩生活时代广场,坂雪岗大道4033号,114.0701,22.6558
福安购物广场,金稻田路2001号,114.1196,22.5847
华强广场,华强北路1019号,114.0861,22.5439
大梅沙奥特莱斯,环梅路1号,114.3090,22.5970
君胜百货,宝安80区宝民二路111号,113.8808,22.5822
天虹,创业一路1018号,113.8940,22.5600
天虹,横岗街道龙岗大道与保康路交汇处,114.2109,22.6492
新城市广场,深南中路1095号,114.0985,22.5394
鹏润达环球服贸广场,腾龙路152号,114.0218,22.6250
岁宝百货,龙珠大道33号桃源村三期商业裙楼,113.9844,22.5576
IBC Mall,布心路3008号,114.1249,22.5745
欧洲城,北环大道8188号,113.9656,22.5572
万科生活广场,宝安大道与裕安一路交界处,113.8899,22.5613
嘉熙业广场,民治大道328号,114.0399,22.6231
天虹,桃园路与常兴路交汇处（南山医院斜对面）地铁罗宝线桃园站B出口,113.9220,22.5328
熙璟城购物中心,富安大道与平安大道交汇处,114.1357,22.6826
天虹,龙华街道龙观东路花园新村门楼侧1-5楼,114.0196,22.6624
天虹,白石路168号京基百纳广场B1-2楼,113.9692,22.5307
印力中心,农林路69号,114.0122,22.5447
天虹,观澜街道南部新工业大道与大和路交汇处，中航格澜郡商业楼A栋,114.0491,22.6950
天虹,新园路17号迎宾商业大厦1-6楼,114.1182,22.5480
天虹,民治街道民治大道与民丰路交汇处东南角,114.0455,22.6099
天玑城商业广场,龙岗大道6001号,114.2665,22.7239
天虹,文心五路文心五路30-2号保利文化广场C区1-4层,113.9375,22.5167
新洲,新洲路中城天邑裙楼吉之岛商场T-111商铺,114.0471,22.5215
宝安天虹购物中心,西乡大道与新湖路交叉口西北角旁,113.8645,22.5747
海雅缤纷广场,南海大道2746号,113.9292,22.5187
家乐福,梅林街梅林一村一区裙楼,114.0412,22.5662
天虹,人民南路3002号1-5楼,114.1192,22.5412
彩虹城 广场,西乡大道和前进二路交汇处81区,113.8819,22.5904
东门印象城,人民路二横街21号3楼,114.1207,22.5458
天虹,梅林路69号海康大厦1-6层,114.0614,22.5678
一乐会·音乐潮流广场,流塘路泰华明珠花园1～3楼,113.8859,22.5815
信兴商业广场,深南东路5002号地王信兴广场1层,114.1104,22.5426
天虹,沙井中心路与创新路交汇处32号1-5楼,113.8297,22.7206
西荟城购物广场,新沙路529号,113.8174,22.7319
星光城,清泉路9号,114.0346,22.6643
嗨您HiRunning,香蜜湖街道安托山七路3号,114.0126,22.5510
OKmall潮流广场,海滨路3019号,113.9394,22.5180
特发文创广场,侨香路1010号,114.0296,22.5534
天虹,公明振明路122号,113.8930,22.7821
宝安益田假日天地,福永街道怀德社区广深路福永段77号,113.8276,22.6699
天利名城购物中心,海德三道85号,113.9352,22.5183
天虹,中兴路38号,114.1242,22.6087
优城购物中心,民治大道567号,114.0366,22.6280
爱联万乐福购物广场,爱联余岭西路144号,114.2273,22.6956
星都里,大芬地铁站A1出口附近,114.1380,22.6131
岁宝百货,地铁3号线(龙岗线)益田地铁站益田大厦,114.0511,22.5156
天虹,中山大道与锦龙大道交汇处深业东城国际1-3层,114.3295,22.6794
华南城2号交易广场,华南三道东200米,114.1316,22.6777
万科里购物中心,环城南路万科里购物中心1层底商,114.0732,22.6174
纷享城,华旺路大浪商业中心H栋,113.9944,22.6757
大运城邦益田假日天地商场,大运城邦益田假日天地,114.2113,22.7190
新马商贸城,深惠路与力嘉路交汇处,114.2033,22.6430
HALO广场,笋岗街道桃源路和梨园路交汇处,114.1070,22.5583
泛海城市广场,前海路与兴海大道交汇东北侧,113.8927,22.4957
联升百货,固戍宝安大道4710号联昇商务大厦1层,113.8496,22.5969
金色广场,莲花路2016号,114.0450,22.5539
岁宝百货,民治大道与布龙路交汇处牛栏前大厦1至4层,114.0378,22.6348
地王购物中心,深南东路5002号地王大厦,114.1106,22.5428
景雅居商城,景田路109号,114.0408,22.5559
方大城,龙珠四路2号,113.9728,22.5560
十亩地,泰然九路21号,114.0235,22.5332
宝立方中心,新安四路与前进二路交汇处,113.8923,22.5799
万科红生活广场,布吉锦龙路89号,114.1272,22.5981
连城新天地2期,会展中心地铁站A出口,114.0628,22.5343
时尚mego商业广场,红荔路3008号华新地铁站C出口旁,114.0869,22.5487
联投东方PARK,松岗镇东方大道与松岗大道交汇处,113.8591,22.7601
华盛奥特莱斯购物中心,华南大道1号,114.1235,22.6790
玖龙荟,民塘路白石龙地铁站B/C口,114.0415,22.6013
天虹,龙岗大道龙岗段6068号,114.2778,22.7281
天虹,龙岗中心城清林中路与吉祥中路交汇处愉园新苑1-4层,114.2375,22.7201
世贸中心,龙翔大道社保大厦对面,114.2461,22.7168
天虹,深南大道与前海路交汇处西南角,113.9139,22.5406
天虹,留仙大道5028号天虹商场西丽店2层,113.9551,22.5813
万科城,坂雪岗大道4001号,114.0668,22.6456
东门町购物广场,永新街7号,114.1188,22.5442
联美新天地,龙岗大道2290号,114.1319,22.6073
天虹,前进一路329号,113.8940,22.5786
ddmmall商业广场,深南东路3020号百货广场大厦,114.1188,22.5437
佳兆业假日广场,大鹏镇岭澳社区岭南路67号,114.4747,22.5939
国贸时代广场,人民南路3002号国贸大厦A区1-5楼,114.1196,22.5407
群星广场购物中心,红荔路38号,114.0880,22.5483
百易广场,民福路2号,114.0359,22.6187
悦方广场,留仙大道2188号,113.9454,22.5812
同泰时代广场,宝安大道6259号,113.8043,22.6786
茂业百货,深南中路2020号,114.0926,22.5409
华丰时代广场,宝安25区前进一路213号,113.9018,22.5695
叮梆小镇,深南东路3020号ddm百货广场1层,114.1188,22.5437
世贸百货,龙翔大道世贸中心C区二层,114.2459,22.7167
星城购物中心,石岩宝石东路与羊台山路交汇处星城购物中心,113.9472,22.6802
人人购物广场,三角街1-10号,114.1510,22.6120
银信荣恒广场,松柏路与龙岗大道交叉口,114.2092,22.6453
佳宁娜购物广场,人民南路2002号,114.1196,22.5369
天虹,东环一路1号,114.0483,22.6413
君胜前海天街,前海路3005-29号,113.9146,22.5317
宝地利商场,龙华区环观南路96号仁山智水花园,114.0643,22.6910
财富广场,深南大道7002号,114.0266,22.5376
乐淘里商场,华强北路1019号,114.0864,22.5437
罗湖商业城,广场路25号,114.1191,22.5302
爱购时尚百货,西丽塘朗村塘兴路塘朗商务公寓朗景楼,113.9863,22.5892
易生园购物中心,凤塘大道521号,113.8035,22.7008
万福来百货,盛华路23号,114.2573,22.7320
康之宝超级广场,德丰路与政丰北路交叉口西南角,113.8210,22.6721
形色城,沙井街道中心路34-1号,113.8295,22.7220
汇海广场C座,和平路弓村,114.0274,22.6578
石厦新港商城,石厦北路二街89号,114.0531,22.5210
精茂城,海景二路1018号,114.2439,22.5575
kkpark,光翠路南10号,113.9431,22.7580
嘉域荟,光明区松白路与马田路交叉口西南100米,113.8782,22.7820
Ucity,东门街道东门中路新风花园鸿基商业中心B101,114.1204,22.5465
盛大百货,茂盛路98号,114.2035,22.6506
新亿佳,黄田路18号,113.8461,22.6267
恒科商业广场,民治大道435号,114.0396,22.6213
深华商业大厦商铺,嘉宾路与南湖路交汇处嘉宾路2018号,114.1213,22.5406
吉祥商场,布吉街华浩源b栋景芬路,114.1265,22.6233
粤丰百货兴围,兴围村兴业一路85号(D371)美宜佳,113.8310,22.6381
沃客商场,公明街道星湖路a栋,113.9061,22.7072
同得利购物城,观澜镇大布巷村,114.0487,22.7182
金田湾世贸百货,光明区公明街道田湾路59号,113.9037,22.7289
百佳华商场,公明街道长春南路西1号,113.8943,22.7794
康之乐购物广场,荣华路87号,114.1244,22.5935
华城百货,坂田市场黄君山社区,114.0622,22.6400
华凯百货,劳动村二队名优大厦1层,113.8667,22.5690
大鹏广场,大鹏镇中山路5附近,114.4757,22.5961
万盛百货,光明新区公明新围南庄旧村,113.9068,22.7698
逸海百货,石厦路龙洲百货对面,113.8263,22.6750
