mall_name,address,longitude,latitude 
新光天地,工业园区苏州大道东456号,120.7121,31.3232
湖滨新天地,星港街158号,120.6819,31.3161
绿宝步行街,狮山街道长江路436号,120.5494,31.3012
大运城购物中心,中山东路88号,120.5346,31.2574
泉屋百货,长江路211号,120.5492,31.2832
奕欧来奥特莱斯,阳澄环路969号,120.7613,31.3778
华琨新苏购物中心,东吴北路98号,120.6287,31.2697
旧街坊,平江路与狮林寺巷交叉口东南50米,120.6324,31.3202
星悦汇,苏州中心步行街星州街北,120.6778,31.3195
新湖广场,江陵西路1688号,120.6382,31.1785
西城永捷生活广场,广济南路19号,120.6001,31.3052
绿宝广场购物中心,邓尉路与长江路交口东北角,120.5494,31.3011
星海国际广场,星海街200号,120.6709,31.3187
邻瑞广场,西华林街88号,120.7188,31.2972
方洲邻里中心,方洲路528号,120.7421,31.3143
天虹百货,木渎镇金山路39号,120.5186,31.2625
长发商厦,临顿路108号,120.6298,31.3126
东门町商业广场,木渎镇珠江南路788号,120.5373,31.2615
万宝财富商业广场,中山南路1088号,120.6454,31.1304
天虹,苏雅路388号,120.6646,31.3163
万达广场,青阳北路与中环路交汇处,120.9918,31.4134
圆融购物中心,南天成路111号,120.6371,31.4216
双湖广场,企鸿路18号,120.6719,31.2831
吾悦广场,南二环路与金港大道交叉口,120.5432,31.8383
圆融星座,旺墩路269号,120.7150,31.3183
万亚购物中心,永康路商业步行街199号,120.6451,31.1617
昆城广场,人民南路1128号,120.9545,31.3640
丰隆汇购物中心,钟园路788号,120.7162,31.3168
万科美好广场,中新大道西229号,120.6529,31.3048
久光百货,旺墩路268号,120.7152,31.3196
文星广场,林泉街621号,120.7417,31.2763
繁花商业中心,人民路4555号,120.6074,31.3616
舞台国际时尚品牌城,现代大道后戴街9号,120.8216,31.3420
苏州城市生活广场,平泷路251号,120.6101,31.3432
悠方,竹园路与金枫路交汇处,120.5286,31.2753
八佰伴,方塔东街步行街9号楼,120.7559,31.6435
超华城市广场,白马泾路46号,120.9408,31.3797
万达广场,石湖西路176-1号,120.6070,31.2537
九方购物中心,萧林路666号,120.9567,31.4048
街角七号,星悦汇商场L3-L4,120.6777,31.3190
金鹰国际广场,狮山路298号,120.5508,31.2936
永旺梦乐城,越溪苏震桃路188号,120.6127,31.1939
金鸡湖商业广场,苏州大道199号,120.7185,31.3190
美罗百货,观前街245号,120.6221,31.3102
苏州湾水秀天地,吴江太湖新城开平路与风清街交汇处,120.5931,31.1366
爱琴海购物公园,清禾路888号,120.7035,31.2451
泰华商城,人民路383号,120.6239,31.2901
翰林邻里中心,林泉街598号,120.7457,31.2757
景城邻里中心,九华路65号,120.7248,31.3271
星海生活广场,星海街199号（星海街西侧与苏州大道西交汇处）,120.6703,31.3148
旗袍小镇,太湖新城中山南路与笠泽路交汇处,120.6435,31.1520
美罗百货,长江路211号,120.5493,31.2823
苏悦广场,苏州大道西119号,120.6690,31.3155
金鹰国际购物中心,珠江中路199号,120.9729,31.3757
印象城,海虞南路88号,120.7589,31.6495
石路国际商城,石路步行街18号,120.6022,31.3117
圆融时代广场,旺墩路268号,120.7124,31.3208
苏州人民商场,北局22号,120.6242,31.3099
木渎影视城,金山路288号,120.5181,31.2789
星光天地,闽江东路9号,120.7761,31.6663
曼巴特购物广场,河西南路1号,120.5451,31.8609
李公堤国际风情商业水街,金鸡湖大道金鸡湖景区内李公堤,120.6858,31.3022
易生活购物公园,邓蔚路201号,120.5543,31.3003
龙湖狮山天街,高新区狮山路与塔园路交汇处,120.5565,31.2939
永旺梦乐城,苏州高新区城际路19号,120.5301,31.3695
天虹CCMall,广济路219号,120.5993,31.3095
苏州高新区文体中心,太湖大道999号,120.4172,31.3389
苏州中心商场,苏绣路苏州中心内,120.6780,31.3168
永旺梦乐城,钟南街238号,120.7580,31.3234
印象城,现代大道1699号,120.6569,31.3175
华润万象汇,太湖新城镇开平路与冬梅路交叉口,120.6175,31.1364
奥体中心商业广场,苏州工业园区中新大道东999号,120.7470,31.3075
NUZZON韩国购物城,观前街碧凤坊41号,120.6285,31.3106
天虹购物中心,相城大道1168号,120.6386,31.3688
诚品生活苏州,月廊街8号,120.7107,31.3221
世茂生活广场,宝带西路1177号,120.5972,31.2635
万达广场,上海东路188号,121.1374,31.4595
曼哈顿广场,唯华路3号,120.7112,31.3614
东沙湖邻里中心,东沙湖路100号,120.7575,31.3334
凤凰广场,苏州大道西158号,120.6667,31.3154
阳光天地购物中心,环湖路1688号,120.6982,31.2455
奥特莱斯,石路步行街8号,120.6030,31.3131
百盛,前进西路300号,120.9540,31.3823
首创奥特莱斯,东城大道501号,121.0619,31.3649
万达广场,珠海路8号新都汇对面,120.7326,31.6834
万达百货,人民路3188号,120.6144,31.3415
新城吾悦广场,长江南路99号,120.9670,31.3328
君地联合广场,唯正路16号,120.7115,31.3659
梦之城购物中心,武夷山路66号,120.4193,31.3426
新江南生活荟,前进路2200号,120.8960,31.3826
独墅湖邻里中心,启月街198号,120.7242,31.2521
汇邻广场,南环东路758号,120.6361,31.2828
万达广场,春分街10号,120.6148,31.3425
环球188广场,苏惠路88号,120.6700,31.3137
SM城市广场,吴中大道1109号,120.5928,31.2158
太阳广场,上塘街175号,120.6009,31.3131
吾悦广场,开平路2188号,120.6157,31.1378
永旺梦乐城,东南大道与常昆路交界处,120.7797,31.6004
星汇生活广场,博览中心和众街,120.7087,31.3295
世茂广场,前进东路199号,121.0540,31.3828
