mall_name,address,longitude,latitude 
天河城,赤峰道与和平路交叉口旁,117.2042,39.1270
于家堡环球购,新华路于家堡自贸区环球购地下商业街,117.6814,38.9966
和平大悦城,南京路189号,117.1973,39.1176
鲁能城购物中心,水上公园北道与水上公园东路交叉口东南角,117.1748,39.0957
鹏欣水游城,大丰路12-24号,117.1696,39.1490
社会山购物中心,知景道198号,117.0507,39.0519
凯德MALL,南北大街1号,117.2398,39.0969
天津万科广场,广东路60号,117.2135,39.1070
熙悦汇购物中心,黄河道513号,117.1243,39.1373
爱琴海购物公园,津滨大道160号,117.2551,39.1214
伊势丹,第二大街62号,117.7080,39.0240
天佑城,南马路与西马路交口东北侧,117.1731,39.1378
天津国金中心商场,南京路108号,117.1973,39.1192
凯文汇,狮子林大街和翔纬路交口,117.1983,39.1474
泰达生活馆,第二大街56号,117.7063,39.0251
Ｄ26潮玩星球,天津天河城购物中心2F,117.2041,39.1272
复地活力广场,中环东路与东四道交叉口北角,117.4053,39.1576
永旺梦乐城,友谊南路111号,117.2191,39.0270
于家堡堡子里21号文化创意社区,于家堡站环球购商业街,117.6813,38.9966
时代奥城商业广场,宾水西道凌宾路交叉口,117.1698,39.0786
温州国际商贸城,卫津南路269号小倪庄公交站,117.1965,39.0528
大悦城·旺街,南门外大街2号,117.1792,39.1357
仁恒置地广场,东马路137号,117.1911,39.1391
中冶和悦汇,黑牛城道与洪泽路交口,117.2445,39.0808
伊势丹,南京路108号,117.1972,39.1192
金元宝商厦,解放路668号F4层,117.6670,39.0177
SM城市广场,环河北路168号,117.4195,39.1582
嘉华国际商业中心,华昌大街70号,117.2225,39.1377
万象城,乐园道9号,117.2153,39.0908
欧亚达商业广场,西青道58号,117.1526,39.1567
永旺梦乐城,中北镇阜盛道1号,117.0909,39.1430
朗香街,建设路88号,117.2150,39.1155
永旺梦乐城,鑫怡路深特广场1号楼,117.3419,39.0282
新燕莎奥特莱斯购物中心,空港经济区环河北路98号‎,117.3978,39.1612
万福生活广场,迎贤道96号,117.2084,39.1801
天津国贸购物中心,南京路39号五大道文化旅游区旁,117.2158,39.1139
永旺梦乐城,泰达大街泰达时尚东路29号,117.7297,39.0317
嘉里汇,六纬路238号,117.2174,39.1273
新世界百货,东马路138号,117.1897,39.1402
欧乐时尚广场,滨江道300号,117.1961,39.1210
友谊商厦,友谊路21号,117.2038,39.0924
陆家嘴中心,大丰路与北马路交口东北角,117.1722,39.1474
富力广场,北马路127号,117.1730,39.1460
大岛商业广场,环岛西路11号,117.2193,39.0432
金元宝滨海国际购物中心,开发区黄海路19号,117.6884,39.0335
恒基广场,友谊路16号,117.2029,39.0934
万达广场,津滨大道53号,117.2544,39.1243
南开大悦城,南门外大街2-6号,117.1798,39.1352
天津国贸购物中心,南京路39号,117.2164,39.1137
新业广场,黑牛城道125号,117.2139,39.0776
万达百货,津滨大道53号河东万达广场3层,117.2547,39.1242
佛罗伦萨小镇京津名品奥特莱斯,前进道与翠亨路交叉口西北角,117.0157,39.3752
友阿奥特莱斯,云山道与宁海路交汇处往南500米,117.6300,39.0619
万达广场,洞庭路紫云公园西侧,117.6804,39.0132
远洋未来广场,新开路71号,117.2217,39.1387
恒隆广场,兴安路166号,117.1999,39.1280
甜水街,新津道,117.1006,39.1031
金元宝东方广场,塘沽解放路步行街507号,117.6683,39.0159
乐宾百货,南京路128号,117.1946,39.1195
州河湾广场,中昌南大道2号,117.4171,40.0161
新华城市广场,建国大街与体育场路交叉口东北角,117.3909,38.9914
住总大光明中心,光明道与泉州路交口,117.0587,39.3868
中国铁建国际城,金钟河大街与中环线交口,117.2356,39.1704
缤纷购物广场,天山路195号,117.2771,39.1389
彩悦城,乐园道9号,117.2176,39.0903
新城市中心,中北镇万卉路3号,117.0883,39.1431
恒星世界,先锋路61号,117.3066,39.0845
友谊新天地广场,滨江道208号,117.1986,39.1244
彩柒汇生活广场,凌宾路奥城商业广场8号楼,117.1716,39.0752
天津世纪都会,南京路181号,117.1992,39.1174
远洋未来汇购物中心,津塘公路7016号,117.5970,39.0316
海信广场,解放北路188号,117.2181,39.1175
印象城,友谊南路111号,117.2183,39.0250
劝业场商场,和平路290号,117.2006,39.1268
月坛商厦,津沽大街174号,117.3878,38.9883
贻成福地广场,福州道363号,117.6681,39.0415
新安购物广场,东马路138号旁,117.1902,39.1401
蓝海商贸城,新宜白大道姚江路,117.1938,39.2026
金元宝于家堡购物中心,新港路276号,117.6993,39.0047
华开城,南京路219号,117.1933,39.1194
龙居生活广场,大寺镇龙居花园柳杨道1号,117.2450,39.0150
百货大楼,和平路172号,117.1934,39.1299
秀谷商业广场,津塘公路1168号,117.6568,39.0315
米莱欧百货,南京路209号,117.1962,39.1187
鸿泰千佰汇商业广场,第三大街32号,117.7057,39.0297
