mall_name,address,longitude,latitude 
万达广场,东风大道111号,114.1739,30.5068
天纵城广场,巨龙大道1号,114.3044,30.6952
DIC帝斯曼购物中心,武珞路421号,114.3288,30.5360
奥山世纪广场,和平大道1214号,114.3607,30.6171
金地广场,团结大道与仁和路交汇处,114.3844,30.6037
武商世贸广场,解放大道686号,114.2689,30.5802
武汉K11 Select,东湖新技术开发区关山大道355号,114.4125,30.4934
武汉国际广场购物中心,武商路356号,114.2711,30.5801
荟聚中心,园博大道1号,114.1675,30.6174
泛悦汇·昙华林,友谊大道与中山路交叉口螃蟹岬地铁站A2出口,114.3165,30.5520
百联奥特莱斯,盘龙大道51号,114.2573,30.7309
光谷天地,关山大道519号,114.4105,30.4772
凯德广场,解放大道18号,114.1932,30.5989
HAPPY站台美食购物广场,中山大道818号佳丽广场B1楼,114.2917,30.5794
新佳丽时尚广场,中山大道818号,114.2903,30.5785
群星城,徐东大街120号,114.3487,30.5840
群光广场,珞喻路6号,114.3554,30.5252
新世界百货,建设大道566号,114.2700,30.5950
万达百货,沙湖大道18号,114.3383,30.5565
泛悦汇·KA街,张之洞路151号,114.3044,30.5352
华侨城东方里商业街,欢乐大道,114.3833,30.5895
武汉国际广场,汉口区解放大道557号,114.2711,30.5797
南湖时尚城,关东街南湖大道116号,114.3866,30.4772
江腾广场,马鹦路101号,114.2544,30.5371
八大家红坊里,建设三路34号,114.3828,30.6284
永旺梦乐城,金银潭大道1号,114.2378,30.6505
武汉天地壹方南馆,中山大道1515号,114.3093,30.6089
维佳·佰港城,文治街30号,114.3265,30.5033
中百百货,和平大道1544号,114.4026,30.6393
M+购物中心,京汉大道循礼门地铁2号线C出口旁,114.2861,30.5837
万达广场,唐家墩路5-1号菱角湖公园对面,114.2686,30.6102
武汉天地新天地,芦沟桥路28号,114.3113,30.6076
中商广场,中南路9号,114.3317,30.5368
银泰创意城,珞喻路35号,114.3558,30.5263
香港路后院商业街,香港路271号,114.2747,30.6107
永旺梦乐城,金桥大道15号,114.2838,30.6308
悦活里生活广场,狮子山街南湖大道48号芷岸龙庭超市1-3层,114.3350,30.4803
新世界百货,徐东大街31号,114.3469,30.5887
万达广场,沙湖大道18号,114.3383,30.5564
悦心汇,光谷一期风情街下沉广场负一楼,114.4025,30.5051
光谷德国风情街,珞瑜路726号光谷步行街,114.4088,30.5013
大洋百货,民生路176号,114.2901,30.5776
新世界百货,江汉路118号,114.2899,30.5824
凯德1818,中北路88号,114.3402,30.5533
摩尔城,王家湾龙阳大道特6号,114.2075,30.5591
凯德广场,中山大道238号,114.2676,30.5685
中百购物中心,吴家山田园大道108号,114.1344,30.6202
武汉天地壹方北馆,永和路8号,114.3139,30.6160
中百百货,江汉路129号,114.2897,30.5819
世界城广场,珞喻路766号,114.4043,30.5065
首创奥特莱斯,高新二路139号,114.4614,30.4775
保利广场,关山大道330号,114.4104,30.4909
武商广场,解放大道688号,114.2700,30.5802
永旺梦乐城,江城大道388号,114.2060,30.5039
花园道,西北湖路特1号,114.2648,30.5958
江夏中百广场,文华路37号,114.3214,30.3646
五环天地,虎泉街271号,114.3798,30.5061
银泰百货,中南路14号,114.3335,30.5374
销品茂,徐东大街18号,114.3432,30.5882
武商众圆广场,和平大道959号,114.3784,30.6274
海林广场,田园大道1196号,114.1445,30.6230
王府井百货,中山大道858号,114.2914,30.5793
大洋百货,光谷街3号,114.4016,30.5058
泛海城市广场二期Joy Park悦街,云彩路196号,114.2553,30.6029
一食万巷,江汉一路58号,114.2907,30.5817
湖北工业大学西区生活广场,南湖徐家墩湖北工业大学西区,114.3057,30.4802
百汇井时尚购,雄楚大道888号,114.3902,30.4984
鲁巷广场购物中心,珞喻路726号,114.3963,30.5063
世界城光谷步行街一期,珞喻路光谷广场,114.4026,30.5052
汉商武展购物中心,解放大道696号,114.2735,30.5811
青山百货商场,和平大道1542号,114.4028,30.6392
吾行里,和平大道东50米,114.3753,30.6238
万科广场,常青一路218号,114.2613,30.6233
未来城购物公园,珞狮南路147号,114.3536,30.5250
柠檬中心Lemon center,花园道,114.2656,30.5973
南大天地,湖北省武汉市硚口区硚口路162号,114.2518,30.5734
人信汇购物中心,龙阳大道58号,114.2044,30.5509
大洋百货,龙阳大道36号,114.2091,30.5610
武商亚贸广场,武珞路628号,114.3431,30.5294
星汇维港购物中心,中山大道1号,114.2503,30.5694
万家汇,后湖大道与百步亭花园路交汇处,114.3150,30.6535
中心百货大楼,江汉路129号中百商厦,114.2899,30.5819
罗马春天奥特莱斯,江夏大道邬树村56号,114.3714,30.3860
武广,解放大道668号国广7楼,114.2697,30.5806
东原时光道,团结南路,114.3401,30.5844
汉口城市广场,后湖大道111号,114.3053,30.6513
中百百货,兴新街172号,114.3133,30.3482
太和里,青年路59号,114.2626,30.5899
万隆广场,白沙洲大道404号,114.3037,30.5194
光谷国际广场,珞喻路889号,114.3982,30.5074
汉商21世纪购物中心,汉阳大道577号,114.2108,30.5611
新世界百货,珞瑜路1号,114.3540,30.5270
泛海城市广场,云杉路199号,114.2554,30.6029
印象城,和平大道1278号,114.3900,30.6320
大武汉1911,新华路589号,114.2626,30.6148
F6漫时区,和平大道722号,114.3243,30.5746
大汉口城,中山大道539号,114.2904,30.5792
洪山广场,中南路与八一路交叉口东南50米,114.3368,30.5440
印象里广场,光谷一路万科嘉园,114.4455,30.4998
联投广场万汇mall,文化大道3号,114.3213,30.3740
