mall_name,address,longitude,latitude 
金鹰曲江购物中心,芙蓉南路芙蓉新天地1号楼,108.9737,34.2085
世纪金花,西大街1号,108.9452,34.2599
绿地缤纷荟,锦业路与丈二八路十字东北角,108.8806,34.1943
中贸广场,南关正街16号,108.9460,34.2440
西安SKP,长安北路261号,108.9488,34.2476
中大国际,高新路72号,108.8973,34.2219
开元商城,东大街解放市场6号,108.9481,34.2584
赛格国际购物中心,长安中路赛格国际购物中心,108.9480,34.2232
金地广场,曲江新区曲江池东路999号,108.9884,34.2032
万达广场,雁塔路北段8号,108.9621,34.2435
万达广场,太华北路369号,108.9726,34.3150
蓝海风漫巷,凤城二路蓝海凤城旁,108.9340,34.3181
新世界时尚广场,北大街88号,108.9461,34.2631
王府井百货熙地港店,未央路170号,108.9454,34.3378
群光广场,东大街334号,108.9551,34.2607
悦荟广场,解放路与东新街交叉口西南,108.9622,34.2635
汉神购物广场,凤城八路168号，与文景路十字西南角,108.9369,34.3404
砂之船奥莱,世博大道5001号,109.0447,34.3438
大悦城,慈恩路777号,108.9621,34.2164
老城根G park,星火路22号,108.9214,34.2856
王府井百货,南关正街88号,108.9461,34.2467
曲江海港城,雁南一路与慈恩路交叉口东北角,108.9620,34.2119
华盛奥特莱斯购物中心,国际港务区港兴路中段华南城2号交易广场,109.0459,34.3572
万达百货,解放路111号,108.9638,34.2679
王府井赛特奥莱,凤凰大道11号,109.1757,34.3642
苏宁易购广场,解放路186号民生百货斜对面,108.9625,34.2653
奥帕MALL购物中心首城奥特莱斯,电子正街405号,108.9198,34.2096
印象城,未央路33号,108.9480,34.2941
W FIVE PARK 万众国际商业中心,曲江池南路与曲江池东路交汇处东北角,108.9888,34.1952
龙湖西安大兴星悦荟,大兴东路2号,108.9199,34.2855
t11block,唐延路与科技一路交汇处,108.8903,34.2299
万象城,三桥路与西户公路交叉口旁,108.8295,34.2905
万达广场,解放路111号五路口东南角,108.9643,34.2681
立丰国际购物广场,金花南路6号,108.9975,34.2474
鑫苑大都汇购物中心,丰禾路251号,108.8995,34.2810
金鹰购物中心,科技路37号海星广场城市广场A座,108.9017,34.2331
凯德广场,南二环西段64号,108.9362,34.2288
益田假日世界购物中心,长乐西路166号,108.9737,34.2692
华清广场,雁塔路99号,108.9639,34.2410
大融城,未央路与凤城八路交叉口东南角,108.9483,34.3383
CityOn熙地港（西安）购物中心,未央路170号,108.9461,34.3377
西安大都荟,科技路305号,108.8934,34.2370
MOMOPARK购物中心,小寨西路与含光路交叉口东南角,108.9324,34.2223
中大国际,南大街30号,108.9463,34.2541
世纪金花,科技路55号,108.9033,34.2320
芙蓉新天地广场,芙蓉南路与曲江池西路丁字路口向西300米,108.9744,34.2079
万科生活广场,西长安街919号,108.8941,34.1584
华阳城,长乐东路纺渭路交叉口西北角,109.0716,34.2796
开米广场,长安中路38号,108.9464,34.2245
世纪金花,环城南路东段336号,108.9489,34.2488
秋林公司,雁塔路北段58号,108.9632,34.2456
艾斯广场,未央路134号,108.9467,34.3201
民生百货,文景路116号文景路与凤城八路交叉口,108.9371,34.3423
百瑞广场,雁塔中路58号,108.9633,34.2336
民生百货,东大街骡马市1号,108.9512,34.2586
大话南门站Station,长安路与南稍门十字东南角向南80米,108.9475,34.2400
华旗国际广场,长安中路99号,108.9474,34.2217
秋林公司,吉祥路,108.9314,34.2233
荣民龙首广场,未央路27号,108.9479,34.2921
正荣彩虹谷,雁翔路西北妇女儿童医院南侧,109.0104,34.1943
首创禧悦里,文景路与凤城十二路交叉口,108.9397,34.3589
海港城,长安中路177号,108.9477,34.2253
太奥广场,丰禾路275号,108.8930,34.2832
曼蒂广场,雁南一路9号大唐不夜城新乐汇民生百货东侧,108.9660,34.2130
银泰城,雁南二路410号,108.9635,34.2064
万和城购物中心,胡家庙十字西北角长缨西路1号,108.9947,34.2790
世纪金花,凤城五路与未央路十字西南角,108.9463,34.3290
省军区军人服务社购物中心,长安中路30号,108.9459,34.2197
民生百货,未央路80号民生百货F5层,108.9467,34.2988
盛龙商业广场,未央路80号,108.9457,34.3003
阳阳国际购物广场,朱雀大街132号,108.9378,34.2174
兰岛广场,科技六路四号,108.9014,34.2115
华东·万悦城,长乐西路128号,108.9784,34.2689
华东万锦城购物中心,汉城南路与沣镐西路交叉口西北角,108.8714,34.2608
开元商城,西关正街57号,108.9118,34.2589
晶鑫商业广场,大寨路19号,108.8774,34.2455
金辉·环球广场,雁塔南路885号,108.9647,34.1819
绿地世纪城,锦业路1号,108.8755,34.1950
唐延中心城,唐延路168号,108.8889,34.2385
西北商贸中心,长乐西路218号2号,108.9833,34.2684
曲江创意谷,曲江新区雁翔路3369号,109.0124,34.2125
秋林公司,翠华路73号,108.9567,34.2108
银泰百货,西大街48号,108.9429,34.2589
万达百货,雁塔北路8号万达广场1-4层,108.9628,34.2436
西市城购物中心,劳动南路118号,108.9086,34.2453
阳光天地,信息大道1号,108.8681,34.1701
兴正元广场,东大街骡马市1号,108.9505,34.2571
时尚大街,凤城八路与明光路交叉口东北角,108.9301,34.3392
盛大时代广场,唐延路3号,108.8905,34.2351
印象城,二环南路西段155号,108.9220,34.2351
东方亿象城,长乐西路西北商贸中心西行50米,108.9813,34.2689
紫郡长安城市立方,长安西路与朱雀大街南段交叉口北250米路西,108.9385,34.1943
百盛,金花南路59号,108.9972,34.2473
万达广场,科技七路与唐延路交口,108.8916,34.2083
龙湖西安曲江星悦荟,新开门北路888号,108.9921,34.2151
新兴广场购物中心,互助路68号,108.9931,34.2603
南飞鸿乐荟里,朱雀南路1589号,108.9412,34.1853
民生百货,解放路103号,108.9637,34.2664
秋林公司,和平电影院南侧,108.9476,34.2733
李家村购物中心,雁塔北路8号万达广场,108.9629,34.2425
