mall_name,address,longitude,latitude 
美景龙堂万科广场,中州大道,113.7185,34.7216
美景万科广场,英才街美景麟起城旁,113.6455,34.8591
海马海汇中心,东风南路与康宁街交汇处东北,113.7699,34.7521
大上海城,东太康路28号,113.6691,34.7560
建业凯旋广场,花园路与农科路交汇处西北角,113.6806,34.7935
丹尼斯大卫城,二七路与太康路交叉口,113.6659,34.7579
关照先生,嵩山南路与安康路交叉口西南角,113.6275,34.7267
正道花园百货,花园路8号,113.6827,34.7692
杉杉奥特莱斯广场,郑开大道与223省道交叉口东北角,114.0292,34.7819
王府井百货,棉纺西路4号,113.6126,34.7617
高新区万科广场,科学大道红叶路交叉口东南角,113.5251,34.8069
永威木色购物公园,商务东五街6号,113.7309,34.7673
万象城,民主路10号,113.6620,34.7549
CityOn熙地港购物中心,众意西路和农业东路交叉东南角,113.7169,34.7847
丹尼斯一天地,商务内环路cbd1号,113.7232,34.7678
万达百货,中原路171号,113.6018,34.7471
万达广场,开元路68号,113.6364,34.8685
万达广场,航海中路137号,113.6430,34.7183
二七广场,西大街21号,113.6667,34.7520
万达广场,中原中路171号,113.6015,34.7466
正弘城,花园路与东风路交汇处西南角,113.6804,34.7957
丹尼斯百货,人民路2号,113.6750,34.7574
丹尼斯7天地,商务外环路与众意路交叉口东南,113.7230,34.7778
锦艺城购物中心,棉纺路与秦岭路东100米路北,113.6058,34.7631
上悦城购物中心,郑汴路127号,113.7144,34.7458
国贸360广场,花园路39号,113.6801,34.7850
朗悦公园茂,公园道1号一期,113.5558,34.8197
德化无限城,德化步行商业街与苑陵街交叉口西北50米,113.6650,34.7493
丹尼斯百货,郑花路1号,113.6823,34.7871
星辰·万科生活广场,航海西路68号,113.6099,34.7206
首创奥特莱斯,洞林湖奥莱大道与环城东路交汇处,113.5008,34.6754
丹尼斯2天地,商务内环路与商务西街交叉口,113.7218,34.7687
丹尼斯6天地,众意西路与商务内环路交叉口,113.7209,34.7768
泰得城,嵩山南路19号,113.6287,34.7357
零零茂购物中心,文化路与优胜北路交汇处西南角,113.6665,34.7688
金水印象汇,中州大道1188号,113.7250,34.7489
曼哈顿商业广场,金水路288号,113.7061,34.7622
百年德化,彩虹路,113.6653,34.7504
局外•太格茂,平安大道与博学路交汇处东北角,113.8016,34.7929
西元国际广场购物中心,建设西路198号,113.6012,34.7578
大商新玛特,花园路38新玛特购物广场郑州总店1层,113.6810,34.7855
硅谷广场,文化路82号,113.6653,34.7965
新世界百货,紫荆山路与商城路交叉口东北角,113.6827,34.7533
建文新世界商厦,黄河96号文化路黄河路交叉口向东100米路南,113.6688,34.7740
新田360广场,金水东路绿地新都会C座旁,113.7695,34.7701
丹尼斯5天地,众意西路国家电网自助营业厅西南侧,113.7194,34.7747
丹尼斯百货,科学大道与瑞达路交汇处正弘·高新数码港2-3层,113.5656,34.8068
汇美尚城,黄河路经八路西南建文新世界1-2层,113.6692,34.7740
乐尚天地生活广场,经南三路与经开第五大街交叉口乐尚天地生活广场F1层,113.7546,34.7133
丹尼斯百货,丰产路19号,113.6789,34.7833
路砦生活广场,汝河路韵雅美术旁,113.6377,34.7329
丹尼斯百货,兴华南街,113.6334,34.7094
金成国际广场,经三路66号,113.6914,34.7936
宝龙城市广场,农业东路33号,113.7379,34.7825
新玛特,二七路200号,113.6658,34.7554
丹尼斯,嵩山南路与沁河路交叉口南100米路西,113.6277,34.7221
丹尼斯百货,棉纺路1号,113.6285,34.7579
鑫苑鑫都汇,陇海路庆丰街交叉口,113.6510,34.7358
凤凰幸福城,青年路3号,113.7099,34.7408
升龙·汇金广场,南阳路192号,113.6312,34.8003
璞丽中心C座,黄河路,113.6960,34.7754
万达广场,农科路,113.6785,34.7931
郑东商业中心b区,永平路82号,113.7587,34.7433
瀚海北金商场,文化路与北环交叉口瀚海北金,113.6655,34.8092
天旺广场,东风路38号,113.6408,34.7975
丹尼斯,丰乐路与跃进路交叉口西50米,113.6428,34.7912
王府井百货,地德街地坤街西北角,113.7181,34.7841
华联商厦,二七路230号,113.6659,34.7533
富田太阳城,航海东路2号,113.7133,34.7215
升龙商业广场,大学中路与政通路交叉口西北50米,113.6438,34.7251
丹尼斯四天地,商务外环路8号,113.7191,34.7729
兆吉·新世界购物中心,西大街168号,113.3714,34.5368
正道中环百货,花园路59号,113.6813,34.7780
新玛特,陇海西路338号,113.6157,34.7355
世贸购物中心,一马路1号,113.6660,34.7401
丹尼斯3天地,商务西四街与之间,113.7195,34.7712
正大乐城,东站北街与心怡路交叉口西北角,113.7729,34.7604
银兴悠客广场,南阳路张杰修脚斜对面,113.6492,34.7726
紫荆山百货,紫荆山路1号,113.6813,34.7624
华润万象城购物中心二期,民主路与西太康路交叉口西100米,113.6633,34.7571
丹尼斯百货,大学路80号,113.6437,34.7392
锦荣悦汇城,郑港四街与郑港七路交汇处,113.8605,34.5648
丹尼斯百货,济源路铝城公园隔壁,113.2986,34.8120
梦天商城,商都路1号红星美凯龙B1层,113.7288,34.7458
中天广场,中岳大街和嵩山路交叉口,113.0350,34.4597
豫龙商场,大同路116号,113.6653,34.7468
豫兴一家人购物广场,花园北路59号,113.6824,34.8183
