,mall_name,address,longitude,latitude,latitude 
0,新奥购物中心,湖景东路9-11号,116.3942,,40.0
1,华联商厦,通胡大街甲3号,116.7001,,39.9184
2,恒泰广场,丰台北路18号,116.3063,,39.866
3,王府中環,王府井大街269号,116.4097,,39.9122
4,金源新燕莎MALL,远大路1号,116.2891,,39.9585
5,北京apm,王府井大街138号,116.4119,,39.9148
6,龙湖北京大兴天街,永兴路七号院龙湖大兴天街,116.3195,,39.6862
7,BHG Mall购物中心,新顺南大街8号,116.6525,,40.128
8,乐成中心SPACE3,东三环中路22号,116.4625,,39.8945
9,国贸商城,建国门外大街1号,116.4584,,39.9112
10,北京SKP,建国路87号,116.4789,,39.9103
11,花乡奥莱村,南四环西路76号,116.3239,,39.8275
12,天虹百货,湖景东路9号,116.3963,,40.0015
13,华贸购物中心,建国路79号,116.4811,,39.9091
14,万达广场,丰科路与五圈路交叉口东100米路南,116.2987,,39.8242
15,龙湖北京长楹天街,朝阳北路常营地铁站F出口旁,116.598,,39.9248
16,凯德MALL,广顺北大街33号,116.4687,,39.9929
17,望京华彩商业中心,广顺北大街16号,116.4689,,40.0108
18,银泰百货,马家堡东路101号院10号楼,116.3856,,39.8444
19,五彩城,清河中街68号,116.3351,,40.0303
20,世贸天阶THE PLACE,光华路9号,116.4519,,39.9162
21,万达百货,新华西街58号,116.641,,39.9053
22,北京银泰中心in01,建国门外大街2号,116.4592,,39.9074
23,菜市口百货中心,广安门内大街306号,116.3594,,39.889
24,燕丰商场,西坝河南里17号楼,116.4391,,39.96
25,官舍,东方东路亮马桥外交公寓B区一号楼首层,116.464,,39.9519
26,三里屯太古里,三里屯北路11号,116.4545,,39.9385
27,温特莱中心,西大望路1号,116.4768,,39.9132
28,悠唐购物中心,三丰路三丰北里2号,116.439,,39.9218
29,中国红街,工体东路丙2号,116.4508,,39.9323
30,新中关购物中心,中关村大街19号,116.3153,,39.9783
31,欧美汇购物中心,中关村丹棱街甲1号,116.3141,,39.9795
32,侨福芳草地购物中心,东大桥路北巷9号,116.4488,,39.9192
33,西单大悦城,西单北大街131号,116.3728,,39.9108
34,凯德MALL,西直门外大街1号,116.3528,,39.9417
35,华熙LIVE,复兴路69-1号,116.2796,,39.9105
36,荟聚中心,欣宁街15号,116.3272,,39.7875
37,合生汇,西大望路甲22号,116.4794,,39.8939
38,首开福茂,宋庄路67号,116.4272,,39.8464
39,万达广场B座,新华西街58号院3,116.6407,,39.9057
40,亦庄创意生活广场,亦庄开发区文化园东路与荣华北路交叉东侧,116.5033,,39.8105
41,青春万达广场,府前西街1号院1号楼,116.6299,,40.3162
42,首航生活广场,丰北路甲79号,116.2938,,39.8668
43,四元桥购物中心,四元桥宜居南路2号楼,116.4609,,39.9788
44,京投港·长阳购物中心,长阳镇长政南街1号院1号楼,116.2133,,39.7631
45,中央公园广场商铺,六里屯朝阳公园南侧,116.4775,,39.9326
46,哇沃生活广场,学院南路南,116.3487,,39.9577
47,燕莎友谊商城,远大路1号金源新燕莎MALL东侧B1楼至3楼,116.2916,,39.9585
48,NTP新城广场,蒲黄榆路芳古园一区18号楼,116.4221,,39.8671
49,BHG Mall购物中心,迎宾街1号院22号楼,117.0946,,40.1463
50,百尚食工坊,兴华南街马驹桥百尚生活广场B1层,116.5451,,39.7531
51,万源广场,万源路和万源北路交叉口西南角,116.4236,,39.8021
52,金熙汇,古城地铁西南金融街长安中心负1层,116.1843,,39.906
53,陆港城,朝阳北路20号院,116.5926,,39.9249
54,融科天地中心,科学院南路2号,116.3265,,39.9832
55,荣祥广场,馨园一路2号院,116.5475,,40.0627
56,翠微百货,立汤路186号龙德广场1-4层,116.4156,,40.0605
57,双子座购物中心,建国门外大街乙12号,116.4486,,39.9076
58,西单购物中心,西单北大街132号,116.3746,,39.9114
59,龙湖星悦荟,颐和园路208号,116.2901,,39.9983
60,东环广场,东中街29号,116.4361,,39.9372
61,云影小镇,朝阳路28号,116.5926,,39.9111
62,鲁能美丽汇,合景香悦四季西区,116.6513,,40.1787
63,中骏·世界城,金汇路9号,116.4518,,39.9177
64,方庄市场,方庄芳星园一区15号,116.4322,,39.8619
65,中粮广场购物中心,建国门内大街8号,116.43,,39.9072
66,金宝汇购物中心,金宝街88号,116.4223,,39.9152
67,华贸广场,西大望路甲6号,116.4799,,39.91
68,华夏幸福创新中心·特色商街,汽车博物馆西路8号院华夏幸福创新中心内,116.3017,,39.824
69,燕莎友谊商城,亮马桥路52号,116.463,,39.9489
70,悠唐广场,三丰北里3号北京朝阳悠唐皇冠假日酒店附近,116.4392,,39.9221
71,居然之家体验mall,西三环南路甲27号,116.3098,,39.8719
72,潮驿178,北苑路28号,116.4157,,40.0403
73,财富购物中心,东三环中路7号财富购物中心F1层,116.4591,,39.9177
74,悦茂购物中心,后屯路文龙家园四里4号楼,116.3494,,40.0432
75,BHG Mall购物中心,东三旗路天通中苑F区,116.415,,40.0703
76,万象汇,水源路与顺密路交叉口东南角,116.8354,,40.3556
77,金隅嘉品Mall,东坝中路38号,116.5483,,39.9515
78,鸿坤购物中心,西红门欣旺北大街8号,116.3399,,39.7913
79,伊藤洋华堂,北四环东路108号,116.4208,,39.9882
80,北京市百货大楼,王府井大街255号,116.41,,39.9138
81,万达广场,建国路93号,116.4714,,39.9102
82,双安商场,北三环西路38号,116.3259,,39.9665
83,BHG Mall购物中心,育知东路30号院,116.3371,,40.0719
84,华威约饭街,西单北大街130号华威大厦7层,116.3746,,39.9115
85,天虹百货,广安门外大街168号,116.3412,,39.8887
86,BHG Mall购物中心,荣华中路8号院,116.502,,39.8053
87,麒麟新天地,阜通西大街11号,116.4778,,39.9972
88,那里花园,三里屯北街81号,116.4549,,39.9363
89,北京王府井银泰in88,王府井大街88号,116.4118,,39.9161
90,京通罗斯福广场,北苑南路九棵树地铁对面,116.6588,,39.889
91,BHG Mall购物中心,巴沟路2号,116.2951,,39.9731
92,通盈中心,南三里屯路与工体北路交叉处,116.4549,,39.9323
93,隆华购物中心,新顺南大街11号,116.6505,,40.1264
94,澳门中心,王府井东街8号,116.4133,,39.9149
95,世纪金源购物中心,远大路1号,116.2886,,39.9586
96,食宝街,中关村大街15号,116.3138,,39.9803
97,华润plus365购物中心,石龙西路润西山别墅区对面,116.1103,,39.9114
98,北京君太,西单北大街133号,116.3733,,39.9095
99,东安市场,王府井大街253-255号,116.4115,,39.9138
100,北京坊,煤市街廊房头条交叉口东北角,116.3967,,39.898
101,金地广场,建国路91号,116.4743,,39.9092
102,首创奥特莱斯,长阳镇悦盛路6号院,116.1867,,39.7633
103,昌发展万科广场,龙域中街龙域中心,116.3168,,40.0665
104,三里屯SOHO,工体北路8号,116.4533,,39.9331
105,凯德Mall,华佗路2号,116.319,,39.6723
106,住总万科广场,旧宫东西大街旧宫地铁对面,116.4594,,39.8056
107,银河SOHO购物中心,牌坊胡同甲7号,116.4335,,39.92
108,国瑞购物中心,崇文门外大街18号,116.4199,,39.8982
109,绿地缤纷城,金星西路金星公园斜对面,116.3341,,39.7645
110,华贸天地,清河营南街七号院,116.4323,,40.0465
111,合景·摩方购物中心,崇文门外大街1号,116.4177,,39.8996
112,老佛爷百货,西单北大街110号,116.3743,,39.9139
113,银座和谐广场,万丰路68号,116.2973,,39.8823
114,朝阳大悦城,朝阳北路101号,116.5185,,39.9239
115,悦荟万科广场,南环路10号院1号楼,116.2393,,40.2123
116,食寶街,羊坊店路18号光耀东方广场,116.322,,39.8991
117,龙湖北京房山天街,拱辰北大街与管委路交口西南角,116.1403,,39.7459
118,喜隆多新国际购物中心,阜石路300号,116.1717,,39.9228
119,东方新天地,东长安街1号,116.4144,,39.9091
120,蓝色港湾,朝阳公园路6号二十一世纪对面,116.4753,,39.9491
121,中粮祥云小镇,安泰大街9号,116.5377,,40.087
122,Hello Mart城市市集,亮马桥路48号,116.4669,,39.9504
123,八达岭奥莱,南口镇陈庄京藏高速公路陈庄出口北侧,116.1703,,40.2351
124,来福士中心,东直门南大街1号,116.4324,,39.94
125,赛特奥莱,香江北路28号,116.5056,,40.0354
126,中粮万科半岛广场,长阳路广阳新路9号院1号楼,116.2112,,39.7535
127,万达广场,北苑一路1号院,116.6406,,39.9049
128,环球贸易中心,北三环东路36号,116.4108,,39.9672
129,龙德广场,立汤路186号,116.4155,,40.0597
130,北京富力广场,广渠门外大街东三环南路1号院,116.4607,,39.8954
131,万达广场,石景山路乙18号,116.2262,,39.9059
132,颐堤港,酒仙桥路18号,116.4913,,39.9696
133,大族广场Mall&More,经济技术开发区荣华南路2号,116.5129,,39.7927
134,北京太阳宫爱琴海购物公园,七圣中街12号,116.4365,,39.9719
135,中海环宇荟购物中心,北土城路与安定路西北角,116.4064,,39.9779
136,新东郊商城二层,新东郊商城二层a-087a-088,116.5358,,39.8676
